name,developer,rank,platform,release_date,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,game_genre,game_url,game_url_string,meta_game_name,meta_critic_score,meta_critic_count,meta_user_score,meta_user_count,meta_esrb,meta_genre,meta_multiplayer,meta_full_url,release_year,is_series,Matched_Name
The Elder Scrolls Online: Tamriel Unlimited,ZeniMax Online Studios  ,11,PS4,2015-06-09,Bethesda Softworks  ,740000,980000,0,330000,2050000.0,MMO,https://www.vgchartz.com/game/73109/the-elder-scrolls-online-tamriel-unlimited/?region=All,the-elder-scrolls-online-tamriel-unlimited,The Elder Scrolls Online: Tamriel Unlimited,74,30.0,7.6,965,M,First-Person,yes,https://www.metacritic.com/game/playstation-4/the-elder-scrolls-online-tamriel-unlimited,2015,yes,The Elder Scrolls Online: Tamriel Unlimited The Elder Scrolls Online: Morrowind The Elder Scrolls Online: Summerset
The Elder Scrolls Online: Tamriel Unlimited,ZeniMax Online Studios  ,13,XOne,2015-06-09,Bethesda Softworks  ,860000,390000,0,130000,1380000.0,MMO,https://www.vgchartz.com/game/77052/the-elder-scrolls-online-tamriel-unlimited/?region=All,the-elder-scrolls-online-tamriel-unlimited,The Elder Scrolls Online: Tamriel Unlimited,77,11.0,8.3,627,M,First-Person,yes,https://www.metacritic.com/game/xbox-one/the-elder-scrolls-online-tamriel-unlimited,2015,yes,The Elder Scrolls Online: Tamriel Unlimited The Elder Scrolls Online: Morrowind The Elder Scrolls Online: Summerset
The Elder Scrolls Online: Morrowind,ZeniMax Online Studios  ,22,PS4,2017-06-06,Bethesda Softworks  ,110000,90000,0,40000,240000.0,MMO,https://www.vgchartz.com/game/155313/the-elder-scrolls-online-morrowind/?region=All,the-elder-scrolls-online-morrowind,The Elder Scrolls Online: Morrowind,75,15.0,6.0,44,M,Role-Playing,no,https://www.metacritic.com/game/playstation-4/the-elder-scrolls-online-morrowind,2017,yes,The Elder Scrolls Online: Morrowind The Elder Scrolls Online The Elder Scrolls Online: Summerset The Elder Scrolls Online: Tamriel Unlimited
The Elder Scrolls Online: Morrowind,ZeniMax Online Studios  ,30,XOne,2017-06-06,Bethesda Softworks  ,90000,30000,0,10000,140000.0,MMO,https://www.vgchartz.com/game/155315/the-elder-scrolls-online-morrowind/?region=All,the-elder-scrolls-online-morrowind,The Elder Scrolls Online: Morrowind,76,7.0,5.8,27,M,Role-Playing,yes,https://www.metacritic.com/game/xbox-one/the-elder-scrolls-online-morrowind,2017,yes,The Elder Scrolls Online: Morrowind The Elder Scrolls Online The Elder Scrolls Online: Summerset The Elder Scrolls Online: Tamriel Unlimited
The Elder Scrolls Online: Summerset,ZeniMax Online Studios  ,31,XOne,2018-05-21,Bethesda Softworks  ,90000,10000,0,10000,110000.0,MMO,https://www.vgchartz.com/game/221482/the-elder-scrolls-online-summerset/?region=All,the-elder-scrolls-online-summerset,The Elder Scrolls Online: Summerset,81,5.0,6.8,8,M,Role-Playing,no,https://www.metacritic.com/game/xbox-one/the-elder-scrolls-online-summerset,2018,yes,The Elder Scrolls Online: Summerset The Elder Scrolls Online The Elder Scrolls Online: Morrowind The Elder Scrolls Online: Tamriel Unlimited
The Elder Scrolls Online: Summerset,ZeniMax Online Studios  ,33,PS4,2018-05-21,Bethesda Softworks  ,80000,0,0,20000,100000.0,MMO,https://www.vgchartz.com/game/221483/the-elder-scrolls-online-summerset/?region=All,the-elder-scrolls-online-summerset,The Elder Scrolls Online: Summerset,76,9.0,5.6,30,M,Role-Playing,no,https://www.metacritic.com/game/playstation-4/the-elder-scrolls-online-summerset,2018,yes,The Elder Scrolls Online: Summerset The Elder Scrolls Online The Elder Scrolls Online: Morrowind The Elder Scrolls Online: Tamriel Unlimited
Final Fantasy XIV: Heavensward,Square Enix  ,27,PS4,2015-06-23,Square Enix  ,0,90000,60000,20000,170000.0,MMO,https://www.vgchartz.com/game/85725/final-fantasy-xiv-heavensward/?region=All,final-fantasy-xiv-heavensward,Final Fantasy XIV: Heavensward,86,20.0,8.3,372,T,Massively Multiplayer Online,no,https://www.metacritic.com/game/playstation-4/final-fantasy-xiv-heavensward,2015,no,none
Final Fantasy XIV: Stormblood,Square Enix  ,28,PS4,2017-06-20,Square Enix  ,50000,60000,40000,20000,170000.0,MMO,https://www.vgchartz.com/game/157466/final-fantasy-xiv-stormblood/?region=All,final-fantasy-xiv-stormblood,Final Fantasy XIV: Stormblood,89,15.0,8.6,289,T,Role-Playing,no,https://www.metacritic.com/game/playstation-4/final-fantasy-xiv-stormblood,2017,no,none
Just Dance 4,Ubisoft  ,51,WiiU,2012-11-18,Ubisoft  ,210000,140000,0,30000,380000.0,Music,https://www.vgchartz.com/game/70773/just-dance-4/?region=All,just-dance-4,Just Dance 4,66,14.0,7.9,40,E10+,Action,no,https://www.metacritic.com/game/wii-u/just-dance-4,2012,yes,Just Dance 4 Just Dance 3 Just Dance 2014 Just Dance 2019 Just Dance 2018 Just Dance 2017 Just Dance 2016 Just Dance 2015 Just Cause 4
Rocksmith 2014 Edition Remastered,Ubisoft  ,95,PS4,2016-10-04,Ubisoft  ,110000,0,0,30000,140000.0,Music,https://www.vgchartz.com/game/132804/rocksmith-2014-edition-remastered/?region=All,rocksmith-2014-edition-remastered,Rocksmith 2014 Edition: Remastered,77,11.0,6.5,6,T,Action,no,https://www.metacritic.com/game/playstation-4/rocksmith-2014-edition-remastered,2016,no,none
