Developer,Global Sales,Releases,Critic Rating,User Rating,Sales Per Release,Average Critic Rating,Average User Rating,rating
EKO Software,120000.0,2,122,6.2,60000.0,61.0,3.1,good
Interplay,120000.0,2,130,8.9,60000.0,65.0,4.4,good
Big Blue Bubble,120000.0,2,107,16.0,60000.0,53.5,8.0,ok
Game Arts / Japan Art Media (JAM),120000.0,1,59,5.8,120000.0,59.0,5.8,ok
Q-Games,120000.0,1,86,7.7,120000.0,86.0,7.7,excellent
Team Tachyon,120000.0,1,63,8.3,120000.0,63.0,8.3,good
Million,120000.0,2,150,17.0,60000.0,75.0,8.5,good
369 Interactive,120000.0,1,45,7.3,120000.0,45.0,7.3,bad
Microvision,120000.0,2,126,15.2,60000.0,63.0,7.6,good
Iron Galaxy,110000.0,2,99,3.2,55000.0,49.5,1.6,ok
KCE Studios,110000.0,1,66,7.0,110000.0,66.0,7.0,good
Inevitable Entertainment,110000.0,1,66,7.8,110000.0,66.0,7.8,good
Career Soft,110000.0,1,81,8.7,110000.0,81.0,8.7,very good
Direct Action Games,110000.0,3,155,17.1,36666.666666666664,51.7,5.7,ok
Full-Fat,110000.0,1,62,7.8,110000.0,62.0,7.8,good
Examu,110000.0,1,75,7.8,110000.0,75.0,7.8,good
Happy Happening,110000.0,1,75,7.3,110000.0,75.0,7.3,good
Guildford Studio,110000.0,1,53,4.8,110000.0,53.0,4.8,ok
Animation Arts,110000.0,1,77,7.6,110000.0,77.0,7.6,very good
Reef Entertainment,110000.0,1,71,7.0,110000.0,71.0,7.0,good
Creative Reality,110000.0,1,64,6.6,110000.0,64.0,6.6,good
KnowWonder,110000.0,3,209,23.4,36666.666666666664,69.7,7.8,good
VIVARIUM Inc.,110000.0,1,62,8.0,110000.0,62.0,8.0,good
Artificial Studios,110000.0,1,55,5.2,110000.0,55.0,5.2,ok
Bionic Games,110000.0,1,66,6.9,110000.0,66.0,6.9,good
Micro Cabin,110000.0,1,67,8.3,110000.0,67.0,8.3,good
Kite Games,100000.0,1,63,7.3,100000.0,63.0,7.3,good
"BeeWorks Co., Ltd.",100000.0,1,60,6.6,100000.0,60.0,6.6,ok
Kemco,100000.0,1,39,3.2,100000.0,39.0,3.2,bad
Starsphere Interactive,100000.0,1,42,8.3,100000.0,42.0,8.3,bad
Del,100000.0,1,32,1.8,100000.0,32.0,1.8,bad
Koei/Inis,100000.0,1,71,8.2,100000.0,71.0,8.2,good
8MonkeyLabs,100000.0,1,44,4.9,100000.0,44.0,4.9,bad
D-Pad Studios,100000.0,2,175,14.100000000000001,50000.0,87.5,7.0,excellent
SilverBirch Studios,100000.0,2,161,15.3,50000.0,80.5,7.6,very good
ArenaNet,100000.0,4,323,33.3,25000.0,80.8,8.3,very good
Visual Science,100000.0,1,70,7.7,100000.0,70.0,7.7,good
SCS Software,100000.0,2,137,14.0,50000.0,68.5,7.0,good
Hinterland Studio Inc.,100000.0,2,151,13.899999999999999,50000.0,75.5,7.0,very good
Petroglyph Games,100000.0,1,66,8.8,100000.0,66.0,8.8,good
IR Gurus,100000.0,1,62,6.3,100000.0,62.0,6.3,good
Quadriga Games,100000.0,1,61,5.7,100000.0,61.0,5.7,good
DreamCatcher Interactive,100000.0,1,53,6.5,100000.0,53.0,6.5,ok
"Capcom Production Studio 4 / Nude Maker Co., Ltd.",100000.0,1,83,8.5,100000.0,83.0,8.5,very good
Gaijinworks,100000.0,1,56,8.2,100000.0,56.0,8.2,ok
Indi Software,100000.0,2,100,13.2,50000.0,50.0,6.6,ok
Digital Mayhem,100000.0,2,134,14.5,50000.0,67.0,7.2,good
Hopelite Research,100000.0,1,43,3.0,100000.0,43.0,3.0,bad
Airship Syndicate,100000.0,2,159,13.5,50000.0,79.5,6.8,very good
S-Neo,90000.0,1,78,8.6,90000.0,78.0,8.6,very good
Rising Star Games,90000.0,1,49,6.3,90000.0,49.0,6.3,ok
Odenis Studio,90000.0,1,73,7.3,90000.0,73.0,7.3,good
CUBETYPE,90000.0,2,80,8.5,45000.0,40.0,4.2,bad
Solutions 2 Go,90000.0,1,49,5.9,90000.0,49.0,5.9,ok
Art Corporation,90000.0,2,109,14.3,45000.0,54.5,7.2,ok
"Quicksilver Software, Inc.",90000.0,2,127,15.600000000000001,45000.0,63.5,7.8,good
Big Huge Games,90000.0,2,165,17.0,45000.0,82.5,8.5,very good
Sensory Sweep,90000.0,1,43,6.3,90000.0,43.0,6.3,bad
Supersonic Software,90000.0,4,170,25.5,22500.0,42.5,6.4,bad
ProSoft,90000.0,1,85,8.7,90000.0,85.0,8.7,very good
Aki Corp,90000.0,1,79,8.3,90000.0,79.0,8.3,very good
Outright Games,90000.0,3,178,19.099999999999998,30000.0,59.3,6.4,ok
Gulti,90000.0,1,73,7.6,90000.0,73.0,7.6,good
XPEC Entertainment,90000.0,1,59,7.4,90000.0,59.0,7.4,ok
KCEO,90000.0,2,111,12.7,45000.0,55.5,6.4,ok
Isopod Labs,90000.0,1,65,7.9,90000.0,65.0,7.9,good
DreamRift,90000.0,2,142,13.9,45000.0,71.0,7.0,good
Dreams,90000.0,2,88,10.600000000000001,45000.0,44.0,5.3,bad
E-game,90000.0,1,80,8.8,90000.0,80.0,8.8,very good
Kalypso Media,90000.0,1,65,4.6,90000.0,65.0,4.6,good
ECI,90000.0,1,38,3.2,90000.0,38.0,3.2,bad
EKO System,90000.0,2,106,11.0,45000.0,53.0,5.5,ok
Deadline Games,90000.0,1,71,8.4,90000.0,71.0,8.4,good
G1M2,90000.0,1,56,8.2,90000.0,56.0,8.2,ok
Eighting/Raizing,90000.0,1,59,8.5,90000.0,59.0,8.5,ok
"Kogado Studio, Inc.",90000.0,1,45,6.0,90000.0,45.0,6.0,bad
"GULTI co.,ltd.",90000.0,1,84,7.1,90000.0,84.0,7.1,very good
FuRyu,90000.0,2,125,13.7,45000.0,62.5,6.8,good
Three Rings,80000.0,1,42,6.7,80000.0,42.0,6.7,bad
Mekensleep,80000.0,1,78,8.0,80000.0,78.0,8.0,very good
Metropolis Software,80000.0,1,35,4.8,80000.0,35.0,4.8,bad
Foundation 9 Entertainment,80000.0,1,47,7.5,80000.0,47.0,7.5,ok
Mobile 21,80000.0,1,78,8.0,80000.0,78.0,8.0,very good
Monte Cristo Multimedia,80000.0,2,131,11.3,40000.0,65.5,5.6,good
Noise Factory,80000.0,1,79,8.6,80000.0,79.0,8.6,very good
Zono Incorporated,80000.0,1,64,7.0,80000.0,64.0,7.0,good
Egosoft,80000.0,1,33,3.2,80000.0,33.0,3.2,bad
Telenet,80000.0,1,72,7.3,80000.0,72.0,7.3,good
Velez & Dubail,80000.0,2,158,14.3,40000.0,79.0,7.2,very good
Aspyr,80000.0,3,216,20.0,26666.666666666668,72.0,6.7,good
Wizarbox Studios,80000.0,1,72,7.6,80000.0,72.0,7.6,good
Shin'en Multimedia,80000.0,1,75,7.7,80000.0,75.0,7.7,good
Game Factory,80000.0,1,51,6.3,80000.0,51.0,6.3,ok
Kunos Simulazioni,80000.0,1,73,6.0,80000.0,73.0,6.0,good
Andamiro U.S.A. Corp.,80000.0,2,147,15.9,40000.0,73.5,8.0,good
Studio Wildcard,80000.0,1,29,2.2,80000.0,29.0,2.2,very bad
Kheops Studio,80000.0,1,56,6.6,80000.0,56.0,6.6,ok
Killer Game,80000.0,1,59,7.0,80000.0,59.0,7.0,ok
Untold Games,80000.0,1,53,6.5,80000.0,53.0,6.5,ok
Synetic,70000.0,1,56,8.3,70000.0,56.0,8.3,ok
Box Clever Interactive,70000.0,1,35,5.6,70000.0,35.0,5.6,bad
Idol FX,70000.0,1,22,1.7,70000.0,22.0,1.7,very bad
Red Hook Studios,70000.0,2,168,15.8,35000.0,84.0,7.9,very good
Sierra Entertainment,70000.0,1,47,8.3,70000.0,47.0,8.3,ok
5000ft,70000.0,1,63,5.3,70000.0,63.0,5.3,good
Zed Two Limited,70000.0,1,61,6.1,70000.0,61.0,6.1,good
Vogster Entertainment,70000.0,1,78,8.2,70000.0,78.0,8.2,very good
Enterbrain,70000.0,1,58,7.8,70000.0,58.0,7.8,ok
NA.P.S. Team SNC,70000.0,2,120,14.7,35000.0,60.0,7.4,ok
AQUA STYLE,70000.0,2,134,13.600000000000001,35000.0,67.0,6.8,good
Zoo Games,70000.0,1,47,8.7,70000.0,47.0,8.7,ok
Interactive Brains,70000.0,1,57,6.3,70000.0,57.0,6.3,ok
Creat Studios,70000.0,1,37,6.3,70000.0,37.0,6.3,bad
Team17 Digital Ltd,70000.0,2,153,13.5,35000.0,76.5,6.8,very good
Game Atelier,70000.0,2,173,16.4,35000.0,86.5,8.2,excellent
Ice Flames,70000.0,2,141,13.3,35000.0,70.5,6.6,good
Goshow,70000.0,1,56,8.3,70000.0,56.0,8.3,ok
Garakuda Studio,70000.0,1,74,7.5,70000.0,74.0,7.5,good
Doublesix,70000.0,1,49,4.4,70000.0,49.0,4.4,ok
Unknown Worlds Entertainment,70000.0,1,81,8.0,70000.0,81.0,8.0,very good
Kodiak Interactive,70000.0,1,67,5.6,70000.0,67.0,5.6,good
Roxor Games,70000.0,1,72,8.5,70000.0,72.0,8.5,good
Holospark,70000.0,2,110,11.1,35000.0,55.0,5.6,ok
Polykid,70000.0,1,65,6.1,70000.0,65.0,6.1,good
Prideful Sloth,70000.0,2,138,14.9,35000.0,69.0,7.4,good
Leviathan Games,70000.0,1,33,3.0,70000.0,33.0,3.0,bad
Awesome Play Ltd.,70000.0,1,37,3.8,70000.0,37.0,3.8,bad
Team 6 Games Studio,70000.0,2,59,5.5,35000.0,29.5,2.8,very bad
ZeptoLab,70000.0,1,64,7.4,70000.0,64.0,7.4,good
Edmund McMillen,60000.0,1,80,7.9,60000.0,80.0,7.9,very good
Revolution Software Ltd.,60000.0,1,80,8.4,60000.0,80.0,8.4,very good
1C:Ino-Co,60000.0,2,143,15.7,30000.0,71.5,7.8,good
"Crackpot Entertainment / Creat Studios, Inc.",60000.0,1,55,7.0,60000.0,55.0,7.0,ok
RedTribe Studios,60000.0,1,29,3.3,60000.0,29.0,3.3,very bad
Giant Squid Studios,60000.0,2,161,14.8,30000.0,80.5,7.4,very good
Ignition Banbury,60000.0,1,78,7.8,60000.0,78.0,7.8,very good
Pendulo Studio,60000.0,1,75,7.3,60000.0,75.0,7.3,good
Breakpoint Studio,60000.0,2,105,5.0,30000.0,52.5,2.5,ok
Brainbox Games,60000.0,1,32,6.5,60000.0,32.0,6.5,bad
WorkJam,60000.0,1,61,8.1,60000.0,61.0,8.1,good
THQ Nordic,60000.0,3,195,20.8,20000.0,65.0,6.9,good
EA Japan Studio,60000.0,1,72,7.6,60000.0,72.0,7.6,good
ART Co.,60000.0,1,44,2.9,60000.0,44.0,2.9,bad
Black Isle Studios,60000.0,3,231,25.900000000000002,20000.0,77.0,8.6,very good
Big Deez Productions,60000.0,3,139,17.5,20000.0,46.3,5.8,ok
Tranji,60000.0,2,93,10.9,30000.0,46.5,5.4,ok
Milkstone Studios,60000.0,4,309,28.5,15000.0,77.2,7.1,very good
Mothership Entertainment,60000.0,1,73,7.1,60000.0,73.0,7.1,good
Sproing,60000.0,1,67,8.2,60000.0,67.0,8.2,good
CiRCLE Studio,60000.0,2,90,7.8,30000.0,45.0,3.9,bad
"Chunsoft Co., Ltd.",60000.0,1,79,8.2,60000.0,79.0,8.2,very good
Triple Eh?,60000.0,2,150,14.0,30000.0,75.0,7.0,good
BattleBorne,60000.0,1,54,7.0,60000.0,54.0,7.0,ok
Sonic Powered,60000.0,1,59,8.0,60000.0,59.0,8.0,ok
Digitalmindsoft,60000.0,1,77,8.0,60000.0,77.0,8.0,very good
StarQuail,60000.0,1,77,7.7,60000.0,77.0,7.7,very good
Neversoft Entertainment / Rebellion,60000.0,1,73,7.8,60000.0,73.0,7.8,good
Silver Wish Games,60000.0,1,62,5.0,60000.0,62.0,5.0,good
Nikitova Games,60000.0,1,35,4.4,60000.0,35.0,4.4,bad
Ninja Studio,60000.0,1,65,8.1,60000.0,65.0,8.1,good
Crim,60000.0,2,125,11.5,30000.0,62.5,5.8,good
Electronic Arts UK,60000.0,1,83,5.0,60000.0,83.0,5.0,very good
Headfirst Productions,60000.0,1,77,8.2,60000.0,77.0,8.2,very good
"IronNos Co., Ltd.",60000.0,1,78,7.6,60000.0,78.0,7.6,very good
Ironclad Games,60000.0,2,161,16.1,30000.0,80.5,8.0,very good
Ludosity AB,60000.0,1,77,7.7,60000.0,77.0,7.7,very good
Liquid Dragon Studios,50000.0,1,56,5.9,50000.0,56.0,5.9,ok
Black Sea Studios,50000.0,2,140,16.1,25000.0,70.0,8.0,good
Starfish,50000.0,1,69,7.5,50000.0,69.0,7.5,good
Atelier Double,50000.0,1,76,8.0,50000.0,76.0,8.0,very good
Flying Tiger Entertainment,50000.0,1,71,6.4,50000.0,71.0,6.4,good
Gameinvest,50000.0,1,53,6.0,50000.0,53.0,6.0,ok
"extreme Co.,Ltd.",50000.0,1,67,6.9,50000.0,67.0,6.9,good
Raylight Studios,50000.0,1,70,8.3,50000.0,70.0,8.3,good
Valhalla Game Studios,50000.0,1,43,6.7,50000.0,43.0,6.7,bad
1C: Maddox Games,50000.0,1,60,7.1,50000.0,60.0,7.1,ok
Black Forest Games,50000.0,1,45,5.8,50000.0,45.0,5.8,bad
Snail Games USA,50000.0,1,46,4.3,50000.0,46.0,4.3,ok
SmartDog,50000.0,1,69,7.8,50000.0,69.0,7.8,good
Valcon Games,50000.0,1,42,7.7,50000.0,42.0,7.7,bad
Studio Archcraft,50000.0,1,58,7.5,50000.0,58.0,7.5,ok
Runecraft,50000.0,1,54,5.5,50000.0,54.0,5.5,ok
Klei Entertainment,50000.0,1,78,7.1,50000.0,78.0,7.1,very good
Blue 52,50000.0,2,99,13.9,25000.0,49.5,7.0,ok
Max Five,50000.0,1,62,8.6,50000.0,62.0,8.6,good
DSI Games,50000.0,1,34,1.7,50000.0,34.0,1.7,bad
Brain in a Jar,50000.0,1,71,7.3,50000.0,71.0,7.3,good
Fast Travel Games,50000.0,1,72,7.1,50000.0,72.0,7.1,good
Introversion Software,50000.0,1,80,6.9,50000.0,80.0,6.9,very good
"The Collective, Inc.",50000.0,1,69,7.4,50000.0,69.0,7.4,good
Coyote Console,50000.0,1,37,4.5,50000.0,37.0,4.5,bad
Buka Entertainment,50000.0,1,33,6.8,50000.0,33.0,6.8,bad
Icon Games,50000.0,1,62,5.3,50000.0,62.0,5.3,good
Capcom Production Studio 8,50000.0,1,43,7.1,50000.0,43.0,7.1,bad
EA,50000.0,1,81,6.3,50000.0,81.0,6.3,very good
M2,50000.0,1,73,7.5,50000.0,73.0,7.5,good
Iron Lore Entertainment,50000.0,3,193,20.8,16666.666666666668,64.3,6.9,good
Otomate,50000.0,2,161,13.8,25000.0,80.5,6.9,very good
Wicked Witch Software,50000.0,2,145,12.7,25000.0,72.5,6.4,good
Killaware,50000.0,1,48,6.2,50000.0,48.0,6.2,ok
Doki Denki,50000.0,1,70,8.0,50000.0,70.0,8.0,good
Hyper-Devbox,50000.0,1,32,1.6,50000.0,32.0,1.6,bad
Phantom 8 Studio,50000.0,2,71,11.8,25000.0,35.5,5.9,bad
Codo Games,50000.0,1,78,8.5,50000.0,78.0,8.5,very good
VSTEP,50000.0,1,49,6.4,50000.0,49.0,6.4,ok
Madmind Studio,50000.0,2,71,9.2,25000.0,35.5,4.6,bad
"Imagineer Co., Ltd.",50000.0,1,51,8.2,50000.0,51.0,8.2,ok
AOne Games,40000.0,1,64,4.9,40000.0,64.0,4.9,good
SnapDragon Games,40000.0,1,70,8.4,40000.0,70.0,8.4,good
GAIA,40000.0,1,66,7.3,40000.0,66.0,7.3,good
NCS,40000.0,1,35,4.4,40000.0,35.0,4.4,bad
EnjoyUp Games,40000.0,1,68,7.7,40000.0,68.0,7.7,good
InLight Entertainment,40000.0,1,67,8.2,40000.0,67.0,8.2,good
Tangentlemen,40000.0,1,62,6.8,40000.0,62.0,6.8,good
Iridon Interactive,40000.0,1,68,8.7,40000.0,68.0,8.7,good
G.Rev,40000.0,1,60,6.1,40000.0,60.0,6.1,ok
Monte Cristo  Multimedia,40000.0,1,75,7.5,40000.0,75.0,7.5,good
LKA,40000.0,2,127,12.8,20000.0,63.5,6.4,good
Iron Galaxy Studios,40000.0,2,162,13.8,20000.0,81.0,6.9,very good
KCE Tokyo Inc,40000.0,1,74,8.2,40000.0,74.0,8.2,good
Villa Gorilla,40000.0,3,248,23.7,13333.333333333334,82.7,7.9,very good
Firesprite,40000.0,1,78,8.0,40000.0,78.0,8.0,very good
Nightlight Studios,40000.0,1,39,7.4,40000.0,39.0,7.4,bad
3D Realms,40000.0,2,133,10.9,20000.0,66.5,5.4,good
PQube,40000.0,1,74,7.6,40000.0,74.0,7.6,good
Historia,40000.0,1,64,5.8,40000.0,64.0,5.8,good
Pendulo Studios,40000.0,1,79,7.9,40000.0,79.0,7.9,very good
Anima Games Studio,40000.0,1,52,7.2,40000.0,52.0,7.2,ok
3DClouds.it,40000.0,2,123,9.2,20000.0,61.5,4.6,good
Cranberry Production,40000.0,1,71,7.6,40000.0,71.0,7.6,good
Panic Button Games Inc.,40000.0,1,38,1.7,40000.0,38.0,1.7,bad
SystemSoft,40000.0,1,74,8.8,40000.0,74.0,8.8,good
Reloaded Productions,40000.0,1,56,5.8,40000.0,56.0,5.8,ok
Viewpoint Games,40000.0,1,42,5.6,40000.0,42.0,5.6,bad
Lion Game Lion,40000.0,1,46,3.2,40000.0,46.0,3.2,ok
Zoink Games,40000.0,3,223,20.1,13333.333333333334,74.3,6.7,good
Realmforge Studios,40000.0,2,145,14.7,20000.0,72.5,7.4,good
TickTock Games,40000.0,2,120,13.3,20000.0,60.0,6.6,ok
Lince Works,40000.0,1,71,7.1,40000.0,71.0,7.1,good
Ilinx,40000.0,1,53,5.2,40000.0,53.0,5.2,ok
Tilted Mill Entertainment,40000.0,1,74,7.8,40000.0,74.0,7.8,good
HONEY PARADE GAMES,40000.0,1,65,4.2,40000.0,65.0,4.2,good
Tate Interactive,40000.0,2,115,15.6,20000.0,57.5,7.8,ok
NoWay Studio,40000.0,1,44,6.9,40000.0,44.0,6.9,bad
Nitro Games,40000.0,2,124,11.1,20000.0,62.0,5.6,good
System Prisma,40000.0,1,68,6.7,40000.0,68.0,6.7,good
Arrowhead Game Studios,30000.0,1,74,7.6,30000.0,74.0,7.6,good
Wales Interactive Ltd.,30000.0,1,56,6.3,30000.0,56.0,6.3,ok
Twelve Games,30000.0,1,31,4.0,30000.0,31.0,4.0,bad
Super Empire,30000.0,1,45,6.0,30000.0,45.0,6.0,bad
Toby Fox,30000.0,2,146,14.2,15000.0,73.0,7.1,good
Visual Sciences Ltd.,30000.0,1,72,7.8,30000.0,72.0,7.8,good
Akella,30000.0,2,119,10.2,15000.0,59.5,5.1,ok
2D Boy,30000.0,1,90,8.4,30000.0,90.0,8.4,excellent
Toadman Interactive,30000.0,1,51,7.5,30000.0,51.0,7.5,ok
Tiwak SAS,30000.0,1,62,6.2,30000.0,62.0,6.2,good
zSlide,30000.0,1,55,7.0,30000.0,55.0,7.0,ok
Black Hole Entertainment,30000.0,1,73,7.3,30000.0,73.0,7.3,good
Digital Illusions CE,30000.0,1,80,6.8,30000.0,80.0,6.8,very good
Mobius Entertainment,30000.0,1,78,8.5,30000.0,78.0,8.5,very good
Eagle Dynamics,30000.0,1,76,7.5,30000.0,76.0,7.5,very good
Prograph,30000.0,1,35,7.7,30000.0,35.0,7.7,bad
Image & Form Games,30000.0,2,173,15.7,15000.0,86.5,7.8,excellent
Paul Cuisset,30000.0,1,77,8.3,30000.0,77.0,8.3,very good
Meteorise,30000.0,1,61,7.2,30000.0,61.0,7.2,good
Headup Games,30000.0,1,72,7.7,30000.0,72.0,7.7,good
Mud Duck Productions,30000.0,2,64,11.0,15000.0,32.0,5.5,bad
Confounding Factor,30000.0,1,67,6.7,30000.0,67.0,6.7,good
Panther Software,30000.0,1,44,6.0,30000.0,44.0,6.0,bad
React Games,30000.0,1,43,1.9,30000.0,43.0,1.9,bad
Global A Entertainment,30000.0,1,70,6.4,30000.0,70.0,6.4,good
Garakuta-Studio,30000.0,1,71,7.1,30000.0,71.0,7.1,good
Createch,30000.0,1,62,7.6,30000.0,62.0,7.6,good
"Seed Studios, Lda",30000.0,1,31,5.0,30000.0,31.0,5.0,bad
EA Bright Light Productions,30000.0,1,64,5.0,30000.0,64.0,5.0,good
Lab Zero Games,30000.0,2,158,15.0,15000.0,79.0,7.5,very good
Neocore Games,30000.0,1,66,6.5,30000.0,66.0,6.5,good
Ska Studios,30000.0,1,82,7.8,30000.0,82.0,7.8,very good
Sonnori,30000.0,1,48,5.5,30000.0,48.0,5.5,ok
Nippon Columbia,30000.0,1,55,6.7,30000.0,55.0,6.7,ok
Cyan Worlds,30000.0,2,148,11.899999999999999,15000.0,74.0,5.9,good
Nurijoy,30000.0,1,74,7.6,30000.0,74.0,7.6,good
Caged Element,30000.0,2,130,12.1,15000.0,65.0,6.0,good
Touchdown Entertainment,20000.0,1,33,2.6,20000.0,33.0,2.6,bad
Mythic,20000.0,1,86,7.9,20000.0,86.0,7.9,excellent
Wargaming.net,20000.0,1,69,7.3,20000.0,69.0,7.3,good
Choice Provisions,20000.0,1,73,7.4,20000.0,73.0,7.4,good
Autumn Moon,20000.0,1,66,5.8,20000.0,66.0,5.8,good
ClockStone,20000.0,1,78,6.5,20000.0,78.0,6.5,very good
Turbine Inc.,20000.0,1,85,8.0,20000.0,85.0,8.0,very good
Mindware Studios,20000.0,1,60,6.4,20000.0,60.0,6.4,ok
Infogrammes Studios,20000.0,1,62,8.5,20000.0,62.0,8.5,good
Camouflaj,20000.0,1,72,5.6,20000.0,72.0,5.6,good
Ino-Co / 1C Company,20000.0,1,72,7.3,20000.0,72.0,7.3,good
Master Creating,20000.0,1,57,5.6,20000.0,57.0,5.6,ok
Lucky Chicken,20000.0,2,53,5.5,10000.0,26.5,2.8,very bad
Abstraction Games,20000.0,1,85,7.5,20000.0,85.0,7.5,very good
InterServ International,20000.0,1,58,6.5,20000.0,58.0,6.5,ok
League of Geeks,20000.0,1,74,7.1,20000.0,74.0,7.1,good
Lead Pursuit,20000.0,1,90,7.8,20000.0,90.0,7.8,excellent
ValuSoft,20000.0,1,51,7.6,20000.0,51.0,7.6,ok
Delta Factory,20000.0,1,26,2.7,20000.0,26.0,2.7,very bad
Konami Computer Entertainment America,20000.0,1,68,8.0,20000.0,68.0,8.0,good
DMM Games,20000.0,1,61,6.6,20000.0,61.0,6.6,good
Titus Software,20000.0,1,69,8.0,20000.0,69.0,8.0,good
The Adventure Company,20000.0,1,39,2.2,20000.0,39.0,2.2,bad
One or Eight,20000.0,1,68,6.8,20000.0,68.0,6.8,good
GameCo Studios,20000.0,1,67,5.7,20000.0,67.0,5.7,good
BELUGA Computer Inc.,20000.0,1,46,7.7,20000.0,46.0,7.7,ok
Babylon Software,20000.0,1,45,7.5,20000.0,45.0,7.5,bad
Supergonk,20000.0,1,63,6.0,20000.0,63.0,6.0,good
Flying Lab Software,20000.0,1,76,7.6,20000.0,76.0,7.6,very good
Sushi Typhoon Games,20000.0,1,36,4.5,20000.0,36.0,4.5,bad
Shin'en,20000.0,1,70,8.5,20000.0,70.0,8.5,good
"in-glove Co., ltd",20000.0,1,63,6.6,20000.0,63.0,6.6,good
Bitmap Bureau,20000.0,1,65,6.4,20000.0,65.0,6.4,good
Enlight Software Ltd.,20000.0,1,59,7.7,20000.0,59.0,7.7,ok
Empire Oxford,20000.0,1,67,8.2,20000.0,67.0,8.2,good
PuzzleKings,20000.0,1,67,6.7,20000.0,67.0,6.7,good
WeirdBeard,20000.0,1,72,7.0,20000.0,72.0,7.0,good
Arkedo Studio,20000.0,1,70,7.5,20000.0,70.0,7.5,good
Punchline / Shirogumi,20000.0,1,59,8.7,20000.0,59.0,8.7,ok
Playstos Entertainment,20000.0,1,57,7.4,20000.0,57.0,7.4,ok
Gameness Art Software,20000.0,1,26,3.7,20000.0,26.0,3.7,very bad
PAWS,20000.0,1,39,7.7,20000.0,39.0,7.7,bad
Apollo,20000.0,1,69,7.9,20000.0,69.0,7.9,good
The Balance Inc,20000.0,1,64,6.5,20000.0,64.0,6.5,good
Eidos Studios Hungary,20000.0,1,74,7.8,20000.0,74.0,7.8,good
Elixir Studios,10000.0,1,75,8.3,10000.0,75.0,8.3,good
Deep Fried Entertainment,10000.0,1,53,6.6,10000.0,53.0,6.6,ok
Weappy Studio,10000.0,1,58,4.9,10000.0,58.0,4.9,ok
1C Maddox Games,10000.0,1,91,8.6,10000.0,91.0,8.6,excellent
Fluid Studios,10000.0,1,46,1.9,10000.0,46.0,1.9,ok
Idol Minds Digital,10000.0,1,71,6.3,10000.0,71.0,6.3,good
HumaNature Studios,10000.0,1,66,5.5,10000.0,66.0,5.5,good
IGGYMOB,10000.0,1,41,4.1,10000.0,41.0,4.1,bad
EA Phenomic,10000.0,1,75,7.1,10000.0,75.0,7.1,good
G.rev Ltd.,10000.0,1,77,7.5,10000.0,77.0,7.5,very good
Empty Clip Studios,10000.0,1,75,8.5,10000.0,75.0,8.5,good
Digital Sun,10000.0,1,81,7.3,10000.0,81.0,7.3,very good
Grip Games,10000.0,1,77,7.6,10000.0,77.0,7.6,very good
Deep Red Games,10000.0,1,85,7.7,10000.0,85.0,7.7,very good
Most Wanted Entertainment,10000.0,1,58,4.6,10000.0,58.0,4.6,ok
Katauri Interactive,10000.0,1,82,8.6,10000.0,82.0,8.6,very good
Rain Games,10000.0,1,78,6.7,10000.0,78.0,6.7,very good
"Pentavision Entertainment, Neowiz Corporation",10000.0,1,81,7.7,10000.0,81.0,7.7,very good
Boston Animation,10000.0,1,61,7.4,10000.0,61.0,7.4,good
Team Meat,10000.0,1,85,6.9,10000.0,85.0,6.9,very good
Pronto Games,10000.0,1,23,2.8,10000.0,23.0,2.8,very bad
Prospect Games,10000.0,1,52,6.1,10000.0,52.0,6.1,ok
Blue Byte Software / Related Designs,10000.0,1,78,7.7,10000.0,78.0,7.7,very good
Rayark Inc.,10000.0,1,81,8.0,10000.0,81.0,8.0,very good
Tecmo / Graphic Research,10000.0,1,79,8.6,10000.0,79.0,8.6,very good
Black Tower Studios,10000.0,1,32,4.4,10000.0,32.0,4.4,bad
Rebellion Games,10000.0,1,80,7.6,10000.0,80.0,7.6,very good
Big Red Software,10000.0,1,51,3.8,10000.0,51.0,3.8,ok
BiArt Studios,10000.0,1,47,1.9,10000.0,47.0,1.9,ok
Asylum Entertainment,10000.0,1,59,6.8,10000.0,59.0,6.8,ok
Stage Clear Studios,10000.0,1,73,6.9,10000.0,73.0,6.9,good
BreakAway Games,10000.0,1,77,7.8,10000.0,77.0,7.8,very good
Paragon 5,10000.0,1,81,7.0,10000.0,81.0,7.0,very good
King of the Jungle,10000.0,1,45,7.3,10000.0,45.0,7.3,bad
Sukeban Games,10000.0,1,82,7.5,10000.0,82.0,7.5,very good
AGEOD,10000.0,1,70,5.6,10000.0,70.0,5.6,good
Llamasoft,10000.0,1,75,4.8,10000.0,75.0,4.8,good
Looking Glass Studios,10000.0,1,92,9.0,10000.0,92.0,9.0,excellent
Lucky Jump,10000.0,1,56,6.8,10000.0,56.0,6.8,ok
Colossal Order,10000.0,1,72,6.6,10000.0,72.0,6.6,good
Mimimi Productions,10000.0,1,85,7.7,10000.0,85.0,7.7,very good
Chaos Concept,10000.0,1,68,7.0,10000.0,68.0,7.0,good
Angry Mob Games,10000.0,1,60,5.5,10000.0,60.0,5.5,ok
Navarre Corporation,10000.0,1,62,5.2,10000.0,62.0,5.2,good
Nucleosys,10000.0,1,67,7.9,10000.0,67.0,7.9,good
The Farm 51,10000.0,1,43,7.7,10000.0,43.0,7.7,bad
PM Studios,10000.0,1,78,7.9,10000.0,78.0,7.9,very good
