Developer,Global Sales,Releases,Critic Rating,User Rating,Sales Per Release,Average Critic Rating,Average User Rating,rating
Kylotonn,270000.0,4,260,25.599999999999998,67500.0,65.0,6.4,good
Swingin' Ape Studios,270000.0,2,165,17.1,135000.0,82.5,8.6,very good
Black Ops Entertainment,270000.0,1,78,7.9,270000.0,78.0,7.9,very good
Re-Logic,270000.0,4,273,29.8,67500.0,68.2,7.4,good
Loose Cannon Studios,270000.0,3,202,23.799999999999997,90000.0,67.3,7.9,good
Cyanide Studio,270000.0,6,397,38.699999999999996,45000.0,66.2,6.4,good
Powerhead Games,270000.0,2,99,11.1,135000.0,49.5,5.6,ok
Seven45 Studios,260000.0,2,72,4.5,130000.0,36.0,2.2,bad
Big Fish Games / LDW,260000.0,1,46,7.0,260000.0,46.0,7.0,ok
Contrail,260000.0,1,67,8.2,260000.0,67.0,8.2,good
Coyote Developments,260000.0,2,105,12.7,130000.0,52.5,6.4,ok
Digital Eclipse Software,260000.0,1,77,8.6,260000.0,77.0,8.6,very good
2K Shanghai,260000.0,1,55,5.5,260000.0,55.0,5.5,ok
Bec,260000.0,2,102,14.7,130000.0,51.0,7.4,ok
Handheld Games,260000.0,3,161,23.700000000000003,86666.66666666667,53.7,7.9,ok
Pacific Century Cyber Works Japan,260000.0,1,46,8.4,260000.0,46.0,8.4,ok
Chime,260000.0,3,244,22.7,86666.66666666667,81.3,7.6,very good
OmiyaSoft,260000.0,3,227,24.4,86666.66666666667,75.7,8.1,very good
Funcom,260000.0,4,321,33.1,65000.0,80.2,8.3,very good
Attention To Detail,260000.0,3,188,19.2,86666.66666666667,62.7,6.4,good
Human Soft,260000.0,1,55,5.5,260000.0,55.0,5.5,ok
System 3,260000.0,3,169,15.5,86666.66666666667,56.3,5.2,ok
BugBear,260000.0,1,74,7.5,260000.0,74.0,7.5,good
Gorilla Games,260000.0,1,46,3.3,260000.0,46.0,3.3,ok
Amaze,260000.0,1,63,7.6,260000.0,63.0,7.6,good
Empire Interactive,260000.0,1,50,6.8,260000.0,50.0,6.8,ok
"2015, Inc.",250000.0,1,73,8.0,250000.0,73.0,8.0,good
Monstars Inc.,250000.0,1,89,7.6,250000.0,89.0,7.6,excellent
Aksys Games,250000.0,3,205,18.599999999999998,83333.33333333333,68.3,6.2,good
California Seven Studios,250000.0,1,51,7.5,250000.0,51.0,7.5,ok
Tecmo Koei Canada,250000.0,2,98,14.3,125000.0,49.0,7.2,ok
Outrage Games,250000.0,2,136,12.6,125000.0,68.0,6.3,good
Mad Doc Software,240000.0,3,170,12.799999999999999,80000.0,56.7,4.3,ok
Capcom Production Studio 2,240000.0,2,118,12.4,120000.0,59.0,6.2,ok
Nautilus,240000.0,1,85,8.8,240000.0,85.0,8.8,very good
"Visual Concepts, Ltd.",240000.0,2,111,10.100000000000001,120000.0,55.5,5.1,ok
Trickstar Games,240000.0,3,134,11.9,80000.0,44.7,4.0,bad
Aqua Plus,240000.0,2,148,15.8,120000.0,74.0,7.9,good
Metro Graphics,240000.0,1,63,5.2,240000.0,63.0,5.2,good
Guerrilla Cambridge,230000.0,1,78,7.6,230000.0,78.0,7.6,very good
Blueshift,230000.0,1,85,7.3,230000.0,85.0,7.3,very good
Gratuitous Games,230000.0,1,61,6.8,230000.0,61.0,6.8,good
Game Republik,230000.0,1,74,8.7,230000.0,74.0,8.7,good
RFX Interactive,230000.0,2,145,14.9,115000.0,72.5,7.4,good
Compulsion Games,230000.0,2,131,10.3,115000.0,65.5,5.2,good
Magic Pixel Games,230000.0,1,66,5.2,230000.0,66.0,5.2,good
Spiders,230000.0,3,141,18.0,76666.66666666667,47.0,6.0,ok
BAM! Entertainment,230000.0,2,93,11.3,115000.0,46.5,5.6,ok
Playful Corp.,220000.0,1,64,7.0,220000.0,64.0,7.0,good
Rhino Studios,220000.0,1,63,6.2,220000.0,63.0,6.2,good
SimBin,220000.0,3,229,22.4,73333.33333333333,76.3,7.5,very good
Fusionsphere Systems / Animation Arts,220000.0,5,336,37.0,44000.0,67.2,7.4,good
Thomas Happ Games,220000.0,3,249,24.299999999999997,73333.33333333333,83.0,8.1,very good
EA Freestyle,220000.0,1,61,6.1,220000.0,61.0,6.1,good
Gas Powered Games,220000.0,6,441,46.1,36666.666666666664,73.5,7.7,good
GungHo Works,220000.0,1,53,5.2,220000.0,53.0,5.2,ok
Lancarse,220000.0,3,215,21.099999999999998,73333.33333333333,71.7,7.0,good
Dream On Studio,220000.0,1,56,5.6,220000.0,56.0,5.6,ok
Mix Max,220000.0,2,158,14.0,110000.0,79.0,7.0,very good
Blitz Game Studios,210000.0,1,50,3.7,210000.0,50.0,3.7,ok
Takara,210000.0,1,33,7.1,210000.0,33.0,7.1,bad
JV Games,210000.0,2,121,15.100000000000001,105000.0,60.5,7.6,good
Think and Feel,210000.0,1,63,7.2,210000.0,63.0,7.2,good
Sproing Interactive Media / Deep Silver Vienna,210000.0,1,67,7.5,210000.0,67.0,7.5,good
Lost Toys,210000.0,2,141,12.7,105000.0,70.5,6.4,good
MASA Group,210000.0,1,47,7.4,210000.0,47.0,7.4,ok
Alpha Unit,210000.0,1,54,6.2,210000.0,54.0,6.2,ok
Comcept,210000.0,3,155,12.0,70000.0,51.7,4.0,ok
Mistwalker Corporation / Brownie Brown Inc. / Feelplus Inc.,210000.0,1,69,6.5,210000.0,69.0,6.5,good
PopCap,210000.0,1,85,8.1,210000.0,85.0,8.1,very good
Swordfish Studios,210000.0,1,71,6.2,210000.0,71.0,6.2,good
Griptonite,210000.0,1,78,7.0,210000.0,78.0,7.0,very good
2XL Games,210000.0,1,61,4.7,210000.0,61.0,4.7,good
Osiris Studios,210000.0,1,26,4.0,210000.0,26.0,4.0,very bad
Falcom,210000.0,1,85,8.4,210000.0,85.0,8.4,very good
Westwood Studios,200000.0,2,146,16.1,100000.0,73.0,8.0,good
Top Heavy Studios,200000.0,2,95,12.9,100000.0,47.5,6.4,ok
Neon Studios,200000.0,3,201,20.4,66666.66666666667,67.0,6.8,good
Funatics Software,200000.0,2,137,13.5,100000.0,68.5,6.8,good
Croteam,200000.0,3,237,23.2,66666.66666666667,79.0,7.7,very good
GCP1,200000.0,1,63,6.4,200000.0,63.0,6.4,good
Omega Force / Koei Canada,200000.0,1,62,6.6,200000.0,62.0,6.6,good
Ghost Town Games,200000.0,3,235,22.700000000000003,66666.66666666667,78.3,7.6,very good
Sensory Sweep Studios,200000.0,3,97,15.2,66666.66666666667,32.3,5.1,bad
Bohemia Interactive,200000.0,3,211,22.5,66666.66666666667,70.3,7.5,good
Infogrames Melbourne,200000.0,1,62,6.6,200000.0,62.0,6.6,good
Mad Catz,200000.0,1,42,6.8,200000.0,42.0,6.8,bad
Monomi Park,200000.0,2,149,14.3,100000.0,74.5,7.2,good
PlatinumGames / Nude Maker,200000.0,1,75,8.2,200000.0,75.0,8.2,good
Melbourne House Pty Ltd.,200000.0,1,75,7.6,200000.0,75.0,7.6,good
Matrix Software / RED Entertainment,190000.0,1,72,7.6,190000.0,72.0,7.6,good
"HotGen, Ltd.",190000.0,2,54,6.199999999999999,95000.0,27.0,3.1,very bad
TDK Mediactive,190000.0,1,64,8.4,190000.0,64.0,8.4,good
Survios,190000.0,1,73,6.5,190000.0,73.0,6.5,good
Eiconic Games,190000.0,1,59,7.8,190000.0,59.0,7.8,ok
BottleRocket Entertainment,190000.0,1,68,8.0,190000.0,68.0,8.0,good
Takara Tomy,190000.0,1,61,4.4,190000.0,61.0,4.4,good
skip Ltd.,190000.0,1,78,7.5,190000.0,78.0,7.5,very good
The Behemoth,190000.0,2,156,16.6,95000.0,78.0,8.3,very good
Capcom Production Studio 1,190000.0,3,220,23.5,63333.333333333336,73.3,7.8,good
Phoenix Games Studio,190000.0,1,56,6.4,190000.0,56.0,6.4,ok
Nicalis,190000.0,3,239,23.5,63333.333333333336,79.7,7.8,very good
"Ikusabune Inc. / Positron Co., Ltd",190000.0,1,65,8.7,190000.0,65.0,8.7,good
WinkySoft,190000.0,2,125,16.8,95000.0,62.5,8.4,good
Cinemaware,190000.0,1,59,5.6,190000.0,59.0,5.6,ok
Tripwire Interactive,190000.0,2,155,14.1,95000.0,77.5,7.0,very good
Magic Rings,190000.0,1,79,7.8,190000.0,79.0,7.8,very good
Amaze Entertainment / Griptonite Games,180000.0,1,56,4.4,180000.0,56.0,4.4,ok
Destineer,180000.0,1,69,7.8,180000.0,69.0,7.8,good
K2,180000.0,1,48,6.9,180000.0,48.0,6.9,ok
Kaiko,180000.0,3,238,23.5,60000.0,79.3,7.8,very good
Spellbound Entertainment AG,180000.0,1,63,4.0,180000.0,63.0,4.0,good
Broadsword Interactive,180000.0,2,92,10.1,90000.0,46.0,5.0,ok
Majesco Entertainment,180000.0,1,73,6.2,180000.0,73.0,6.2,good
Replay Studios,180000.0,1,56,7.0,180000.0,56.0,7.0,ok
D3 Publisher,180000.0,1,51,7.5,180000.0,51.0,7.5,ok
Konami Software Shanghai,180000.0,2,136,16.1,90000.0,68.0,8.0,good
Nippon Ichi Software / Gust,180000.0,1,62,7.5,180000.0,62.0,7.5,good
Stormregion,180000.0,3,215,21.700000000000003,60000.0,71.7,7.2,good
Kronos Digital Entertainment,180000.0,1,84,7.8,180000.0,84.0,7.8,very good
Escape,180000.0,1,55,3.5,180000.0,55.0,3.5,ok
Namco Bandai Games / Celius,180000.0,1,44,3.9,180000.0,44.0,3.9,bad
Games Farm,180000.0,5,338,34.7,36000.0,67.6,6.9,good
EM Studios,170000.0,1,63,7.7,170000.0,63.0,7.7,good
Natsume Atari,170000.0,2,135,14.3,85000.0,67.5,7.2,good
"Buddiez, Inc.",170000.0,1,74,7.5,170000.0,74.0,7.5,good
Human Entertainment,170000.0,1,49,6.1,170000.0,49.0,6.1,ok
Fatshark,170000.0,2,72,6.9,85000.0,36.0,3.4,bad
Artificial Mind & Movement,170000.0,3,208,24.6,56666.666666666664,69.3,8.2,good
Daoka,170000.0,1,23,2.8,170000.0,23.0,2.8,very bad
Saru Brunei / Intelligent Systems,170000.0,1,71,8.4,170000.0,71.0,8.4,good
Tikipod,170000.0,1,72,8.3,170000.0,72.0,8.3,good
Shiver Games,170000.0,3,187,18.799999999999997,56666.666666666664,62.3,6.3,good
Stalker Entertainment,170000.0,1,57,6.5,170000.0,57.0,6.5,ok
Her Interactive,170000.0,3,199,21.7,56666.666666666664,66.3,7.2,good
Team Dakota,170000.0,1,73,6.9,170000.0,73.0,6.9,good
Dovetail Games,160000.0,3,169,16.7,53333.333333333336,56.3,5.6,ok
Blue Omega Entertainment,160000.0,2,72,8.4,80000.0,36.0,4.2,bad
Acclaim Studios Teesside,160000.0,1,68,8.0,160000.0,68.0,8.0,good
Digital Dreams,160000.0,2,138,14.5,80000.0,69.0,7.2,good
Eden Games,160000.0,1,69,8.4,160000.0,69.0,8.4,good
Carbine Studios,160000.0,1,82,7.5,160000.0,82.0,7.5,very good
10tacle Studios AG,160000.0,1,37,3.0,160000.0,37.0,3.0,bad
Pentavision Entertainment,160000.0,2,148,11.8,80000.0,74.0,5.9,good
Lucas Learning,160000.0,1,71,5.3,160000.0,71.0,5.3,good
Tenky,160000.0,1,64,7.4,160000.0,64.0,7.4,good
WayForward,160000.0,3,221,22.6,53333.333333333336,73.7,7.5,good
Immersion Software & Graphics,160000.0,2,103,14.0,80000.0,51.5,7.0,ok
Transmission Games,160000.0,1,62,6.9,160000.0,62.0,6.9,good
Ubisoft Bulgaria,160000.0,2,114,14.0,80000.0,57.0,7.0,ok
Motion Twin,160000.0,2,176,16.3,80000.0,88.0,8.2,excellent
Konami / Eighting,160000.0,1,49,5.9,160000.0,49.0,5.9,ok
Zombie Studios,150000.0,1,61,6.1,150000.0,61.0,6.1,good
Unique Development Studios,150000.0,1,69,8.6,150000.0,69.0,8.6,good
Other Ocean Interactive,150000.0,2,106,13.9,75000.0,53.0,7.0,ok
Black Ship Games,150000.0,3,199,24.4,50000.0,66.3,8.1,good
DreamFactory,150000.0,2,112,13.899999999999999,75000.0,56.0,7.0,ok
Studio Pixel,150000.0,1,88,7.9,150000.0,88.0,7.9,excellent
Netherock Ltd.,150000.0,1,80,7.2,150000.0,80.0,7.2,very good
Cauldron Ltd.,150000.0,1,50,5.3,150000.0,50.0,5.3,ok
IR Gurus Interactive,150000.0,2,152,15.6,75000.0,76.0,7.8,very good
Toybox Games,150000.0,2,127,13.5,75000.0,63.5,6.8,good
Interchannel,150000.0,1,39,2.5,150000.0,39.0,2.5,bad
Blue Shift,150000.0,1,89,7.9,150000.0,89.0,7.9,excellent
Paradox Interactive,150000.0,4,286,29.400000000000002,37500.0,71.5,7.4,good
Tactical Development,150000.0,1,56,6.5,150000.0,56.0,6.5,ok
Flight-Plan,150000.0,2,150,15.399999999999999,75000.0,75.0,7.7,good
Zoë Mode,150000.0,1,71,7.4,150000.0,71.0,7.4,good
Team Ramrod,150000.0,1,66,7.7,150000.0,66.0,7.7,good
Spiral House,150000.0,3,116,13.9,50000.0,38.7,4.6,bad
epics,150000.0,1,67,5.8,150000.0,67.0,5.8,good
Hypnos,150000.0,1,50,6.3,150000.0,50.0,6.3,ok
Felistella,150000.0,1,74,6.7,150000.0,74.0,6.7,good
GSC Game World,150000.0,3,236,25.1,50000.0,78.7,8.4,very good
MiCROViSion Inc. / Falcom Corporation,140000.0,1,63,7.5,140000.0,63.0,7.5,good
Digital Reality,140000.0,3,231,22.299999999999997,46666.666666666664,77.0,7.4,very good
A.S.K. Homework,140000.0,1,54,7.6,140000.0,54.0,7.6,ok
Volition,140000.0,2,143,9.100000000000001,70000.0,71.5,4.6,good
K2 / Kurogane,140000.0,1,35,6.9,140000.0,35.0,6.9,bad
"Spark Unlimited, comcept",140000.0,2,93,9.600000000000001,70000.0,46.5,4.8,ok
Cyanide,140000.0,2,134,14.8,70000.0,67.0,7.4,good
Ntreev Soft,140000.0,1,77,7.2,140000.0,77.0,7.2,very good
"Ikusabune Co., Ltd.",140000.0,1,68,8.3,140000.0,68.0,8.3,good
Arush Entertainment,140000.0,1,30,3.0,140000.0,30.0,3.0,very bad
Lucky Chicken Games,140000.0,1,58,3.5,140000.0,58.0,3.5,ok
Studio 33,140000.0,1,69,7.0,140000.0,69.0,7.0,good
Stainless Games,140000.0,3,167,18.9,46666.666666666664,55.7,6.3,ok
Hot Lava Games,130000.0,1,60,8.3,130000.0,60.0,8.3,ok
"Phosphor Games Studio, LLC",130000.0,1,24,3.4,130000.0,24.0,3.4,very bad
Kuusou Kagaku,130000.0,1,65,8.5,130000.0,65.0,8.5,good
Panic Button LLC,130000.0,1,26,2.2,130000.0,26.0,2.2,very bad
Nfusion,130000.0,1,37,3.2,130000.0,37.0,3.2,bad
Tokyo RPG Factory,130000.0,3,211,21.7,43333.333333333336,70.3,7.2,good
Curly Monsters,130000.0,1,70,7.4,130000.0,70.0,7.4,good
Virtual Air Guitar Company,130000.0,1,56,7.7,130000.0,56.0,7.7,ok
United Game Artists,130000.0,2,157,16.9,65000.0,78.5,8.4,very good
ConcernedApe,130000.0,2,175,15.5,65000.0,87.5,7.8,excellent
