Game,global_sales,na_sales,eu_sales,jp_sales,other_sales,meta_critic_score,meta_user_score,release_date,Unnamed: 0,Watch_time,Stream_time,Peak_viewers,Peak_channels,Streamers,Average_viewers,Average_channels,Average_viewer_ratio
.hack//G.U. Last Recode,240000.0,100000.0,40000.0,80000.0,30000.0,76.0,7.8,2017-11-03,2206,18090720,5071920,2693,297,7584,33,8,10.08
007 Legends,340000.0,110000.0,170000.0,0.0,60000.0,41.0,4.1,2012-10-16,22775,12480,6960,17,2,24,0,0,1.79
1 vs. 100,90000.0,80000.0,0.0,0.0,10000.0,38.0,3.2,2008-06-30,23058,10800,720,26,1,2,0,0,15.0
2002 FIFA World Cup,780000.0,350000.0,210000.0,160000.0,70000.0,76.0,6.7,2002-04-22,19606,38280,1080,214,2,9,0,0,35.44
2014 FIFA World Cup Brazil,1100000.0,300000.0,650000.0,10000.0,130000.0,73.5,4.4,2014-04-15,21527,21840,3420,183,1,14,0,0,6.39
24: The Game,300000.0,150000.0,120000.0,0.0,40000.0,62.0,8.1,2006-02-28,12405,258720,6300,535,2,16,0,0,81.87
3D Dot Game Heroes,570000.0,360000.0,120000.0,30000.0,70000.0,77.0,8.1,2010-05-11,4477,4538520,90780,4586,8,196,6,0,229.99
50 Cent: Blood on the Sand,210000.0,120000.0,70000.0,0.0,20000.0,71.0,6.2,2009-02-24,5836,2369340,29340,5719,7,99,3,0,346.2100000000001
50 Cent: Bulletproof,2210000.0,1180000.0,860000.0,0.0,180000.0,48.5,6.1,2005-11-17,13785,179280,25800,521,7,78,0,0,33.74
7 Days to Die,330000.0,180000.0,100000.0,0.0,40000.0,40.0,5.6,2016-06-28,96,1934255280,165267900,129420,1816,198801,3677,311,46.52
A Boy and His Blob,210000.0,180000.0,10000.0,0.0,20000.0,80.0,8.4,2009-10-13,4446,4599660,359220,17242,31,1193,7,0,89.03999999999998
A Way Out,720000.0,400000.0,210000.0,0.0,100000.0,78.5,7.8,2018-03-23,281,506677440,15115800,291408,1623,59907,963,28,60.2
A Witch's Tale,110000.0,80000.0,0.0,30000.0,10000.0,50.0,7.0,2009-10-06,23169,10260,2040,86,1,4,0,0,5.03
APB Reloaded,40000.0,20000.0,10000.0,0.0,0.0,56.0,5.8,2011-12-01,494,219948660,27611520,60658,216,30855,416,50,39.36
ATV Offroad Fury 3,1200000.0,1000000.0,40000.0,0.0,160000.0,78.0,8.2,2004-11-02,24874,1680,480,8,1,4,0,0,3.5
Ace Attorney Investigations: Miles Edgeworth,700000.0,230000.0,140000.0,300000.0,40000.0,78.0,8.4,2010-02-16,4417,4702560,294900,1285,11,298,7,0,79.96000000000002
Ace Combat: Assault Horizon Legacy,250000.0,100000.0,60000.0,80000.0,10000.0,71.0,7.5,2011-11-15,16828,78600,14100,544,3,62,0,0,11.12
Activision Anthology,550000.0,280000.0,200000.0,0.0,60000.0,77.0,7.0,2002-11-25,19969,34800,780,576,1,5,0,0,44.62
Advance Wars 2: Black Hole Rising,650000.0,470000.0,170000.0,0.0,10000.0,89.0,8.9,2003-06-24,5862,2336100,200280,2021,9,348,2,0,48.01
Advance Wars: Dual Strike,390000.0,300000.0,30000.0,40000.0,30000.0,90.0,8.9,2005-08-22,4836,3807300,106920,20773,14,159,6,0,137.07
Advent Rising,130000.0,100000.0,30000.0,0.0,0.0,68.0,7.5,2005-05-31,9715,566940,43860,1642,6,156,0,0,47.52
Adventure Time: Pirates of the Enchiridion,90000.0,60000.0,20000.0,0.0,0.0,59.3,6.4,2018-07-17,5157,3230400,369240,15327,38,2077,5,0,32.06
Adventure Time: The Secret of the Nameless Kingdom,90000.0,10000.0,80000.0,0.0,0.0,61.5,6.6,2014-11-18,15541,111180,16500,152,2,42,0,0,13.93
Afrika,220000.0,120000.0,0.0,80000.0,10000.0,63.0,6.2,2009-10-06,6462,1773000,15360,3709,5,28,2,0,413.34
Afro Samurai,440000.0,280000.0,100000.0,0.0,50000.0,65.0,6.2,2009-01-27,10170,493200,26940,1671,4,67,0,0,46.66
Agatha Christie: And Then There Were None,70000.0,60000.0,10000.0,0.0,10000.0,50.0,6.2,2008-02-25,17051,74640,14160,88,4,34,0,0,24.17
Agatha Christie: Evil Under the Sun,90000.0,60000.0,20000.0,0.0,10000.0,46.0,7.0,2008-11-19,20218,32760,1440,55,1,2,0,0,22.75
Agatha Christie: The ABC Murders,100000.0,80000.0,10000.0,0.0,10000.0,53.0,6.5,2009-11-04,5910,2270280,274800,2869,16,849,3,0,31.57
Age of Conan: Rise of the Godslayer,30000.0,0.0,20000.0,0.0,0.0,83.0,7.6,2010-05-11,13836,177060,92700,422,7,84,0,0,4.74
Age of Empires,10000.0,10000.0,0.0,0.0,0.0,83.0,8.7,1997-09-30,1266,47924040,971700,114136,48,1170,88,0,205.34
Age of Empires II: The Age of Kings,90000.0,10000.0,80000.0,0.0,10000.0,92.0,9.0,1999-09-30,5443,2824920,173580,16616,8,439,4,0,54.12000000000001
Age of Empires III: The Asian Dynasties,60000.0,0.0,50000.0,0.0,10000.0,81.0,8.5,2007-10-23,828,100750200,6402300,9019,64,7346,190,10,78.3
Age of Empires Online,60000.0,10000.0,40000.0,0.0,10000.0,70.0,5.7,2011-08-16,5432,2838180,502140,552,13,519,4,0,17.32
Age of Empires: Mythologies,210000.0,160000.0,30000.0,0.0,20000.0,78.0,7.0,2008-11-24,22022,18120,6000,23,2,32,0,0,3.02
Age of Empires: The Age of Kings,220000.0,180000.0,20000.0,0.0,20000.0,80.0,8.0,2006-02-14,18896,46080,4080,144,3,13,0,0,22.3
Agents of Mayhem,310000.0,150000.0,110000.0,0.0,40000.0,67.5,6.6,2017-08-15,1906,23502300,1557120,35427,138,5172,43,1,30.98
Agony,50000.0,40000.0,0.0,0.0,0.0,35.5,4.6,2018-05-29,1331,44074980,1168800,74045,356,5727,81,1,203.85
Airblade,230000.0,110000.0,90000.0,0.0,30000.0,70.0,5.8,2002-01-28,22643,13440,1800,31,1,5,0,0,7.47
Airborne Troops: Countdown to D-Day,120000.0,60000.0,50000.0,0.0,20000.0,39.0,8.1,2005-01-07,25598,600,120,7,1,1,0,0,5.0
Akiba's Beat,110000.0,70000.0,0.0,10000.0,20000.0,55.0,6.4,2017-05-16,7399,1230720,334020,536,24,652,0,0,24.4
Alan Wake,1330000.0,660000.0,500000.0,50000.0,120000.0,83.0,8.2,2010-05-18,793,108868020,7532340,35926,186,25700,204,12,75.75
Alfa Romeo Racing Italiano,10000.0,10000.0,10000.0,0.0,0.0,79.0,6.8,2006-03-16,23975,4740,1140,17,1,2,0,0,4.16
Alias,160000.0,90000.0,50000.0,0.0,10000.0,64.0,6.8,2004-04-05,4043,5646000,40440,39820,4,38,9,0,504.5
Alice in Wonderland,510000.0,250000.0,210000.0,0.0,50000.0,69.0,7.1,2010-03-02,16762,80040,13140,186,3,53,0,0,13.11
Alice: Madness Returns,1210000.0,490000.0,490000.0,80000.0,130000.0,71.7,8.2,2011-06-14,1289,46891680,4438620,11660,55,13059,88,5,53.51
Alien Hominid,190000.0,120000.0,60000.0,0.0,10000.0,78.0,8.3,2004-11-21,10954,388320,68100,3202,9,445,0,0,24.34
Alien Resurrection,160000.0,90000.0,60000.0,0.0,10000.0,61.0,7.5,2000-10-10,15679,106860,16560,176,3,49,0,0,26.56
Alien Syndrome,60000.0,50000.0,0.0,0.0,0.0,48.0,7.1,2007-07-24,19315,41520,1260,391,2,8,0,0,32.95
Alien: Isolation,2370000.0,800000.0,1250000.0,50000.0,290000.0,74.4,8.2,2014-10-07,269,530469300,30600300,72690,494,106393,1007,56,86.25999999999998
Aliens: Colonial Marines,1420000.0,560000.0,680000.0,0.0,170000.0,45.5,3.7,2013-02-12,2877,11254920,606780,35778,24,2198,19,0,100.11
Aliens: Infestation,170000.0,90000.0,50000.0,0.0,20000.0,76.0,8.3,2011-10-11,15217,121440,5820,261,3,18,0,0,37.77
All-Pro Football 2K8,260000.0,240000.0,0.0,0.0,20000.0,75.0,6.9,2007-07-16,4184,5243940,110400,16608,11,62,8,0,169.99
All-Star Baseball 2005,470000.0,270000.0,150000.0,0.0,50000.0,73.5,8.7,2004-04-08,25199,1140,180,9,1,1,0,0,6.33
All-Star Fruit Racing,40000.0,40000.0,0.0,0.0,10000.0,61.5,4.6,2018-08-21,9063,695460,39000,5839,4,96,1,0,17.83
Alone in the Dark,550000.0,170000.0,320000.0,0.0,60000.0,52.5,5.2,2008-06-23,2984,10487160,382920,40372,15,720,17,0,180.17
Alone in the Dark: The New Nightmare,160000.0,90000.0,60000.0,0.0,10000.0,77.0,8.3,2001-06-18,4189,5235780,169560,10499,10,448,8,0,163.07
Alpha Protocol,820000.0,420000.0,300000.0,0.0,110000.0,63.5,7.1,2010-06-01,3277,8831760,378300,17617,12,890,15,0,80.48
Alundra,230000.0,130000.0,90000.0,0.0,10000.0,86.0,8.8,1997-12-31,1874,24260700,726840,14587,22,756,43,0,162.82
Alvin and the Chipmunks,120000.0,90000.0,30000.0,0.0,10000.0,31.5,4.5,2007-12-04,21913,18720,900,106,2,6,0,0,33.2
Amazing Island,60000.0,40000.0,10000.0,0.0,0.0,59.0,6.4,2004-08-25,9620,583620,21720,2593,3,84,0,0,78.02
American Chopper,420000.0,350000.0,10000.0,0.0,60000.0,47.0,7.5,2004-11-25,21405,22740,600,156,1,4,0,0,37.9
American Idol,550000.0,270000.0,210000.0,0.0,70000.0,41.0,4.8,2003-11-11,11695,316140,3540,2963,4,23,0,0,263.32
American Truck Simulator,90000.0,0.0,90000.0,0.0,10000.0,76.0,6.9,2016-02-02,209,731646480,46904340,158380,1098,73541,1388,86,77.82000000000002
Amped 2,250000.0,200000.0,40000.0,0.0,10000.0,80.0,7.7,2003-10-28,19484,39720,1500,171,1,5,0,0,26.48
Amped 3,160000.0,130000.0,20000.0,0.0,10000.0,72.0,7.1,2005-11-16,23965,4800,1020,10,1,6,0,0,4.71
Amplitude,180000.0,90000.0,70000.0,0.0,20000.0,86.0,8.5,2003-03-24,5737,2456820,920580,5394,54,3974,3,1,9.81
Anarchy Reigns,390000.0,220000.0,50000.0,80000.0,50000.0,72.0,8.0,2013-01-08,11367,345480,44520,411,6,85,0,0,25.6
Angry Birds,230000.0,0.0,190000.0,0.0,50000.0,83.0,7.2,2011-01-04,14421,150360,22080,781,3,152,0,0,12.88
Angry Birds Trilogy,1080000.0,680000.0,290000.0,0.0,120000.0,63.7,4.1,2012-09-25,18041,57540,2280,431,1,9,0,0,25.24
Anima - Gate of Memories,40000.0,10000.0,20000.0,0.0,10000.0,52.0,7.2,2017-03-21,13013,220680,35340,205,7,123,0,0,6.24
Animal Crossing: Amiibo Festival,490000.0,230000.0,120000.0,100000.0,40000.0,46.0,4.2,2015-11-13,4166,5323800,130800,7878,12,471,9,0,221.31
Anno 1701: Dawn of Discovery,130000.0,70000.0,50000.0,0.0,10000.0,78.0,7.6,2008-03-04,10581,434280,54480,1608,7,186,0,0,26.86
Anno 2070,1400000.0,0.0,1140000.0,0.0,260000.0,83.0,7.1,2011-11-17,4074,5576580,817080,4144,28,2549,9,0,27.01
Anno 2205,230000.0,40000.0,170000.0,0.0,20000.0,72.0,6.0,2015-11-03,3312,8686260,1357740,4144,35,3887,14,0,32.08
Antz Extreme Racing,60000.0,30000.0,20000.0,0.0,10000.0,33.0,7.2,2002-09-19,15711,105900,360,1783,1,4,0,0,294.17
Anubis II,70000.0,60000.0,0.0,0.0,10000.0,19.0,3.2,2007-09-18,19305,41640,900,360,2,7,0,0,73.4
Ape Escape,1630000.0,710000.0,480000.0,320000.0,110000.0,90.0,8.6,1999-05-31,1267,47858640,601260,424918,33,1322,89,0,310.48
Ape Escape 2,630000.0,120000.0,90000.0,380000.0,30000.0,82.0,8.3,2003-06-30,2744,12190980,399960,133277,19,2633,21,0,118.75
Ape Escape 3,130000.0,60000.0,50000.0,0.0,20000.0,77.0,8.6,2006-01-17,4263,5067780,371640,6510,12,535,7,0,53.61
Ape Escape: On the Loose,700000.0,520000.0,10000.0,120000.0,50000.0,66.0,6.8,2005-03-22,19005,44760,5760,383,2,22,0,0,7.77
Apex Construct,50000.0,40000.0,0.0,0.0,10000.0,72.0,7.1,2018-08-28,11027,379140,73860,359,9,412,0,0,10.61
Apollo Justice: Ace Attorney,1000000.0,280000.0,50000.0,650000.0,30000.0,77.5,8.1,2008-02-19,3305,8698500,374040,2844,16,432,15,0,112.8
Aqua Moto Racing Utopia,30000.0,30000.0,0.0,0.0,0.0,58.0,6.6,2018-03-27,14794,135600,10800,1280,4,42,0,0,32.84
Aqua Teen Hunger Force: Zombie Ninja Pro-Am,70000.0,30000.0,30000.0,0.0,10000.0,37.0,6.3,2007-11-05,16640,82500,3360,723,2,20,0,0,79.98
Aquaman: Battle for Atlantis,20000.0,20000.0,0.0,0.0,0.0,26.5,2.8,2003-07-30,18145,55860,4020,383,2,23,0,0,36.23
Ar tonelico Qoga: Knell of Ar Ciel,240000.0,80000.0,10000.0,130000.0,10000.0,61.0,7.7,2011-03-15,15602,109200,60480,61,4,29,0,0,7.77
Ar tonelico: Melody of Elemia,100000.0,0.0,0.0,100000.0,0.0,71.0,8.7,2007-02-06,10493,446640,159720,106,9,147,0,0,8.15
Aragami,40000.0,30000.0,0.0,0.0,10000.0,71.0,7.1,2016-10-11,1855,25062360,1793040,27009,105,8743,45,0,71.63
Arc Rise Fantasia,190000.0,120000.0,0.0,60000.0,10000.0,64.0,8.0,2010-07-20,9783,557220,42360,576,7,46,0,0,35.74
Arc the Lad: Twilight of the Spirits,360000.0,180000.0,140000.0,0.0,50000.0,72.0,8.4,2003-06-25,12171,275340,101760,567,9,441,0,0,10.69
Arcania: Gothic 4,180000.0,90000.0,80000.0,0.0,20000.0,63.0,4.0,2010-10-19,4032,5675040,227880,6173,12,518,9,0,127.01
Area 51,740000.0,440000.0,230000.0,0.0,70000.0,73.5,8.0,2005-04-25,3295,8729640,98880,23610,51,519,16,0,148.04
ArmA II,130000.0,0.0,120000.0,0.0,20000.0,77.0,7.5,2009-07-07,5527,2723760,288360,8631,12,1297,3,0,42.28
Armed and Dangerous,130000.0,90000.0,30000.0,0.0,0.0,79.0,7.0,2003-12-02,22756,12660,1980,65,1,12,0,0,6.39
Armello,20000.0,20000.0,0.0,0.0,0.0,74.0,7.1,2018-03-13,1110,60493560,3128640,39585,72,9951,112,3,96.46
Armored Core 2,790000.0,280000.0,220000.0,230000.0,70000.0,78.0,8.7,2000-10-24,12143,277140,51420,456,7,127,0,0,21.93
Armored Core 2: Another Age,410000.0,110000.0,80000.0,190000.0,30000.0,75.0,8.5,2001-08-20,16139,93720,18660,244,4,36,0,0,15.1
Armored Core 3,670000.0,220000.0,170000.0,230000.0,60000.0,74.0,8.7,2002-09-05,11454,337920,68880,274,7,163,0,0,18.880000000000006
Armored Core 4,450000.0,280000.0,10000.0,120000.0,30000.0,65.0,7.1,2007-03-20,12097,280920,46260,402,5,100,0,0,25.92
Armored Core V,620000.0,220000.0,70000.0,280000.0,30000.0,66.5,7.2,2012-03-20,11649,319620,20820,422,5,55,0,0,60.67
Armored Core: Nexus,260000.0,60000.0,50000.0,140000.0,20000.0,73.0,8.8,2004-09-28,9356,636060,32220,2758,8,67,0,0,64.55000000000001
Armored Core: Verdict Day,120000.0,0.0,0.0,120000.0,0.0,66.0,7.8,2013-09-24,10824,403560,84720,462,8,85,0,0,23.07
Army of Two,1640000.0,1090000.0,370000.0,20000.0,160000.0,72.0,7.5,2008-03-07,9281,648120,76620,2414,9,642,0,0,56.97
Army of Two: The 40th Day,1840000.0,1090000.0,510000.0,10000.0,220000.0,73.5,7.1,2010-01-12,15627,108240,9060,737,2,30,0,0,34.35
Army of Two: The Devil's Cartel,550000.0,270000.0,190000.0,10000.0,70000.0,56.0,6.4,2013-03-26,13372,201000,27660,353,4,92,0,0,20.53
Art Academy: Home Studio,20000.0,0.0,0.0,20000.0,0.0,82.0,7.9,2015-06-25,12979,222840,14520,1224,4,61,0,0,34.099999999999994
Art Academy: Lessons for Everyone!,490000.0,200000.0,50000.0,210000.0,20000.0,81.0,7.6,2012-10-01,21723,20220,3600,54,2,17,0,0,11.13
Arx Fatalis,50000.0,40000.0,10000.0,0.0,0.0,71.0,7.0,2003-12-23,4726,3984840,327000,12019,16,613,6,0,49.67
Assassin's Creed,10380000.0,5190000.0,3650000.0,160000.0,1380000.0,81.0,7.5,2007-11-13,1719,28387980,3957660,67934,63,12848,52,4,36.87
Assassin's Creed Chronicles,240000.0,30000.0,130000.0,40000.0,30000.0,63.0,5.7,2016-04-05,10958,387660,79320,735,10,331,0,0,26.24
Assassin's Creed Chronicles: China,40000.0,0.0,30000.0,0.0,10000.0,69.0,5.9,2015-04-21,4641,4172340,1219920,6996,99,8218,4,0,16.03
Assassin's Creed II,11410000.0,5690000.0,3950000.0,290000.0,1450000.0,89.0,8.2,2009-11-17,983,74482800,5811000,50549,74,15051,140,8,59.89
Assassin's Creed III,13060000.0,6250000.0,5000000.0,190000.0,1630000.0,83.5,6.8,2012-10-30,1408,39646320,5458020,127036,242,19062,74,8,33.39
Assassin's Creed III: Liberation,1480000.0,530000.0,570000.0,60000.0,320000.0,70.0,7.1,2012-10-30,13546,191580,65580,250,6,251,0,0,8.55
Assassin's Creed IV: Black Flag,13710000.0,6230000.0,5580000.0,200000.0,1730000.0,84.5,7.8,2013-11-22,1027,68919600,15406680,8294,149,43979,130,27,17.92
Assassin's Creed Odyssey,4630000.0,2090000.0,1810000.0,90000.0,640000.0,85.3,5.9,2018-10-05,154,1090781640,46106400,127667,1367,101707,2075,87,46.5
Assassin's Creed Origins,6530000.0,2560000.0,3030000.0,110000.0,850000.0,83.0,7.4,2017-10-27,271,525140160,28611600,92693,938,98375,997,53,47.62000000000001
Assassin's Creed Syndicate,5300000.0,1760000.0,2760000.0,80000.0,690000.0,76.0,6.5,2015-10-23,1118,60132060,15695880,19418,163,72636,112,26,18.28
Assassin's Creed: Bloodlines,1260000.0,430000.0,500000.0,50000.0,280000.0,63.0,7.0,2009-11-17,16364,88320,4920,761,1,22,0,0,17.95
Assassin's Creed: Brotherhood,6970000.0,4900000.0,1300000.0,140000.0,640000.0,89.0,8.3,2010-11-16,1571,33015480,2771340,20303,42,6057,60,3,62.59
Assassin's Creed: Revelations,9210000.0,3850000.0,3990000.0,140000.0,1240000.0,80.0,7.4,2011-11-15,2294,16604640,1579680,15218,32,4004,30,0,51.82
Assassin's Creed: Rogue,2420000.0,1120000.0,930000.0,70000.0,300000.0,72.7,7.4,2014-11-11,3214,9167040,1950060,7550,32,5198,15,2,18.45
Assault Suit Leynos,50000.0,40000.0,0.0,0.0,10000.0,67.0,6.9,2016-08-30,14585,143940,31680,523,6,155,0,0,7.83
Assetto Corsa,80000.0,0.0,60000.0,10000.0,10000.0,73.0,6.0,2016-08-30,944,80214360,16355340,19057,241,40642,151,30,24.35
Astonishia Story,30000.0,30000.0,0.0,0.0,0.0,48.0,5.5,2006-06-06,22146,17520,1620,22,1,1,0,0,10.81
Astro Bot Rescue Mission,710000.0,220000.0,360000.0,20000.0,110000.0,90.0,8.9,2018-10-02,4779,3912660,244200,5980,14,2251,6,0,38.89
Astro Boy: Omega Factor,90000.0,60000.0,20000.0,0.0,0.0,85.0,8.7,2004-08-18,7609,1135740,37740,6178,10,110,1,0,118.05
Asura's Wrath,690000.0,370000.0,180000.0,70000.0,70000.0,71.0,7.0,2012-02-21,2044,20896320,343440,31757,15,895,38,0,289.01
Atelier Annie: Alchemists of Sera Island,120000.0,80000.0,0.0,30000.0,10000.0,70.0,6.7,2009-10-27,9267,649860,2220,6040,3,8,1,0,292.73
Atelier Iris: Eternal Mana,150000.0,80000.0,60000.0,0.0,20000.0,74.0,8.0,2005-06-28,10455,452700,96120,299,8,106,0,0,18.2
Atelier Shallie: Alchemists of the Dusk Sea,200000.0,70000.0,30000.0,80000.0,20000.0,76.0,7.7,2015-03-10,9148,673860,80280,499,7,80,0,0,34.78
Atelier Sophie: The Alchemist of the Mysterious Book,220000.0,40000.0,30000.0,140000.0,10000.0,79.0,7.8,2016-06-07,2812,11686080,1141560,9233,38,2878,19,0,56.8
Atelier Totori: The Adventurer of Arland,430000.0,120000.0,70000.0,210000.0,30000.0,74.0,8.1,2011-09-27,8066,964680,172080,260,10,153,1,0,18.87
Athens 2004,270000.0,130000.0,100000.0,0.0,30000.0,61.0,7.4,2004-07-14,19855,35880,1620,306,2,11,0,0,40.67
Atomic Betty,30000.0,20000.0,10000.0,0.0,0.0,62.0,7.9,2005-10-25,18818,46980,360,388,1,2,0,0,130.5
Attack on Titan,870000.0,140000.0,310000.0,340000.0,70000.0,65.2,7.3,2017-01-01,900,89280600,6489840,99516,424,29887,168,10,45.96
Attack on Titan 2,540000.0,290000.0,60000.0,140000.0,60000.0,73.7,6.9,2018-03-20,1486,36463320,2184900,39529,97,6230,68,3,29.69
Auto Modellista,390000.0,190000.0,150000.0,0.0,50000.0,66.0,7.4,2003-03-25,9654,579000,8040,5225,2,38,1,0,169.58
Avatar: The Last Airbender,1220000.0,1020000.0,130000.0,0.0,60000.0,59.2,6.4,2006-10-10,9734,563940,45000,1669,7,142,0,0,50.35000000000001
Aven Colony,60000.0,40000.0,10000.0,0.0,10000.0,73.0,7.1,2017-08-01,3453,7975620,449160,4609,48,1412,13,0,126.47
Axiom Verge,220000.0,160000.0,30000.0,0.0,30000.0,83.0,8.1,2017-11-21,1348,43103340,2319780,324906,65,7761,79,0,96.68
Azure Striker Gunvolt,20000.0,20000.0,0.0,0.0,0.0,77.0,8.1,2014-08-29,2449,14903220,275640,142758,23,910,26,0,169.57000000000005
Azure Striker Gunvolt: Striker Pack,60000.0,30000.0,10000.0,10000.0,0.0,82.0,7.8,2017-11-21,8834,746820,107700,629,9,269,0,0,20.9
Azurik: Rise of Perathia,240000.0,180000.0,50000.0,0.0,10000.0,52.0,7.9,2001-11-25,19621,38100,1380,62,1,4,0,0,27.61
Back to the Future: The Game,340000.0,220000.0,80000.0,0.0,40000.0,62.5,6.4,2015-10-13,5277,3073740,544080,2649,20,1662,3,0,22.34
Backbreaker,360000.0,330000.0,0.0,0.0,30000.0,56.0,7.3,2010-06-01,11702,315060,300,2781,1,2,0,0,1050.2
Backyard Baseball,620000.0,340000.0,220000.0,0.0,60000.0,74.5,7.6,2004-03-23,9205,664020,79680,1493,9,184,0,0,21.950000000000006
Backyard Wrestling 2: There Goes the Neighborhood,280000.0,140000.0,110000.0,0.0,40000.0,46.0,4.7,2004-11-16,13616,187200,3960,1411,5,16,0,0,107.18
Backyard Wrestling: Don't Try This at Home,770000.0,430000.0,270000.0,0.0,90000.0,50.5,6.2,2003-10-07,10552,439080,4920,3740,3,16,0,0,160.81
Bad Apple Wars,70000.0,20000.0,0.0,40000.0,10000.0,78.0,7.3,2017-10-13,20774,28440,3120,28,1,4,0,0,9.12
Bad Boys: Miami Takedown,1380000.0,730000.0,490000.0,0.0,160000.0,37.7,3.9,2004-09-14,13389,199800,12480,918,5,51,0,0,70.22
Baja: Edge of Control,210000.0,100000.0,80000.0,0.0,30000.0,61.0,4.7,2008-09-22,13290,205740,35760,197,5,118,0,0,15.71
Baldur's Gate: Dark Alliance,1470000.0,780000.0,530000.0,0.0,170000.0,82.0,8.1,2001-12-02,8099,956820,146880,753,8,387,0,0,19.7
Balls of Fury,20000.0,20000.0,0.0,0.0,0.0,19.0,3.1,2007-10-05,12673,241560,780,1963,3,8,0,0,309.69
Band Hero,3380000.0,1880000.0,980000.0,0.0,530000.0,71.0,5.9,2009-11-03,21175,25020,5160,40,1,27,0,0,4.85
Bangai-O Spirits,80000.0,70000.0,0.0,0.0,10000.0,83.0,7.8,2008-08-12,24915,1620,240,25,1,2,0,0,6.75
Banjo-Kazooie: Grunty's Revenge,330000.0,240000.0,90000.0,0.0,10000.0,72.0,8.2,2003-09-10,6997,1443360,70440,3539,15,149,1,0,68.66
Banjo-Pilot,100000.0,70000.0,30000.0,0.0,0.0,68.0,6.2,2005-01-12,20071,33960,2040,228,3,10,0,0,35.13
Barnyard,250000.0,180000.0,60000.0,0.0,10000.0,64.3,7.1,2006-08-01,3095,9799080,84000,28853,10,306,17,0,340.18
Baroque,80000.0,70000.0,0.0,0.0,10000.0,50.0,8.3,2008-04-08,9735,563880,25860,1922,4,46,0,0,42.03
Baten Kaitos Origins,100000.0,60000.0,20000.0,20000.0,0.0,75.0,8.4,2006-09-25,13676,183960,74820,196,7,102,0,0,7.21
Baten Kaitos: Eternal Wings and the Lost Ocean,270000.0,210000.0,50000.0,0.0,10000.0,80.0,8.4,2004-11-16,5243,3115560,392100,2053,13,434,4,0,33.85
Batman Begins,1090000.0,660000.0,330000.0,0.0,80000.0,64.0,7.3,2005-06-14,13117,214440,32700,762,8,99,0,0,33.87
Batman: Arkham Asylum,7820000.0,4500000.0,2280000.0,90000.0,960000.0,91.5,8.8,2009-08-25,1035,68360520,6060480,150963,152,20733,126,9,55.76
Batman: Arkham City,10290000.0,5710000.0,3170000.0,150000.0,1260000.0,95.0,8.7,2011-10-18,1012,70378980,5133900,205964,83,14888,132,8,74.53
Batman: Arkham Knight,5690000.0,2620000.0,2140000.0,110000.0,800000.0,86.0,7.4,2015-06-23,829,100743120,24461580,31215,259,76862,189,43,17.52
Batman: Arkham Origins,4620000.0,2420000.0,1560000.0,40000.0,600000.0,72.7,7.5,2013-10-25,2070,20495520,3363420,6509,53,10007,36,3,29.83
Batman: Arkham Origins Blackgate,750000.0,320000.0,300000.0,0.0,130000.0,64.5,6.8,2013-10-25,9964,523320,93120,695,9,299,0,0,21.29
Batman: Arkham VR,390000.0,320000.0,0.0,0.0,70000.0,74.0,7.3,2016-10-11,3989,5786940,79380,31295,14,2381,8,0,274.46
Batman: Dark Tomorrow,190000.0,140000.0,40000.0,0.0,0.0,27.0,3.1,2003-03-18,17771,61500,1260,188,1,3,0,0,48.81
Batman: Return to Arkham,840000.0,270000.0,450000.0,10000.0,120000.0,75.0,8.1,2016-10-18,4207,5202900,426540,6180,31,6074,8,0,72.41
Batman: Rise of Sin Tzu,530000.0,300000.0,170000.0,0.0,50000.0,64.3,7.5,2003-10-16,15724,105360,5820,258,3,29,0,0,39.92
Batman: Vengeance,990000.0,600000.0,310000.0,0.0,80000.0,68.7,7.3,2001-10-30,14436,149760,24240,1523,5,96,0,0,15.43
Battalion Wars,400000.0,250000.0,70000.0,70000.0,10000.0,76.0,8.5,2005-09-19,17143,72840,9480,340,3,41,0,0,17.61
Battle Arena Toshinden,1270000.0,390000.0,260000.0,530000.0,80000.0,69.0,5.8,1995-09-09,13749,180660,8820,1466,3,58,0,0,67.71
Battle Chasers: Nightwar,100000.0,70000.0,20000.0,0.0,10000.0,79.5,6.8,2017-10-03,1103,61016940,2729760,36765,146,5642,114,3,52.87000000000001
Battle Engine Aquila,30000.0,20000.0,10000.0,0.0,0.0,73.0,7.4,2003-01-19,23004,11100,1200,101,1,5,0,0,9.25
Battle Fantasia,100000.0,70000.0,0.0,20000.0,10000.0,69.0,6.2,2008-09-16,13358,201720,17220,573,7,89,0,0,56.64
Battle Worlds: Kronos,10000.0,10000.0,0.0,0.0,0.0,65.0,5.3,2016-05-10,14969,129480,14880,308,5,87,0,0,24.61
BattleForge,10000.0,0.0,10000.0,0.0,0.0,75.0,7.1,2009-03-24,5490,2762520,296340,2533,18,530,3,0,55.42
Battleborn,960000.0,570000.0,230000.0,30000.0,130000.0,69.3,7.0,2016-05-03,412,281874180,21268620,68364,1279,56093,533,38,47.54
Battlefield 1,5900000.0,3670000.0,1670000.0,20000.0,540000.0,87.5,7.4,2016-10-21,86,2197831440,220164060,351675,2651,600465,4173,416,36.18
Battlefield 2142,30000.0,0.0,20000.0,0.0,0.0,80.0,6.8,2006-10-17,6500,1750200,434880,2490,13,328,2,0,8.89
