Game,global_sales,na_sales,eu_sales,jp_sales,other_sales,meta_critic_score,meta_user_score,release_date,Unnamed: 0,Watch_time,Stream_time,Peak_viewers,Peak_channels,Streamers,Average_viewers,Average_channels,Average_viewer_ratio
Spawn: Armageddon,680000.0,400000.0,220000.0,0.0,70000.0,58.0,7.6,2003-11-21,19633,37920,7800,276,3,19,0,0,9.42
Spec Ops: The Line,970000.0,400000.0,420000.0,40000.0,110000.0,76.5,8.2,2012-06-26,1522,34906440,1727940,60051,93,8291,64,1,116.53000000000002
Spectrobes,750000.0,660000.0,30000.0,0.0,60000.0,63.0,7.8,2007-03-06,9307,644820,25020,4901,5,43,0,0,92.08
Spectrobes: Origins,190000.0,160000.0,20000.0,0.0,10000.0,71.0,8.5,2009-08-18,15599,109260,24420,138,5,49,0,0,12.26
Sphinx and the Cursed Mummy,710000.0,420000.0,220000.0,0.0,60000.0,78.7,8.7,2003-11-10,6347,1869480,181560,2082,11,356,1,0,41.63999999999999
Spider-Man,3130000.0,1700000.0,1250000.0,20000.0,160000.0,87.0,8.8,2000-08-30,2982,10501920,1283820,18504,153,5978,18,0,40.83
Spider-Man 2,7630000.0,4740000.0,2140000.0,50000.0,690000.0,72.7,7.5,2004-06-28,4610,4246560,291600,5511,13,1131,6,0,57.88
Spider-Man 3,3410000.0,2350000.0,640000.0,30000.0,410000.0,59.9,6.7,2007-05-04,6121,2065560,79620,6696,8,305,2,0,101.1
Spider-Man: Battle for New York,130000.0,120000.0,0.0,0.0,10000.0,68.0,6.8,2006-11-14,12781,234780,720,3877,1,5,0,0,326.08
Spider-Man: Edge of Time,690000.0,450000.0,170000.0,0.0,70000.0,56.8,6.4,2011-10-04,16428,87060,14940,153,4,30,0,0,17.46
Spider-Man: Friend or Foe,990000.0,870000.0,20000.0,0.0,90000.0,59.2,6.5,2007-10-02,20933,27240,6780,20,1,25,0,0,4.02
Spider-Man: Shattered Dimensions,1230000.0,790000.0,320000.0,0.0,110000.0,74.5,7.6,2010-09-07,5281,3070140,240480,6430,16,772,4,0,51.44
Spider-Man: The Movie,7070000.0,4640000.0,2060000.0,40000.0,320000.0,77.0,7.5,2002-04-15,8979,711540,120060,1007,9,295,0,0,23.7
Spider-Man: Web of Shadows,1240000.0,970000.0,170000.0,0.0,110000.0,66.0,7.2,2008-10-21,5369,2917800,153840,7336,10,593,4,0,62.46
Spirit Camera: The Cursed Memoir,250000.0,150000.0,20000.0,60000.0,20000.0,54.0,6.4,2012-04-13,21796,19620,1080,60,1,3,0,0,18.17
Splatterhouse,340000.0,270000.0,50000.0,0.0,30000.0,60.5,7.9,2010-11-23,3487,7778280,107640,102959,20,386,13,0,244.76
Split/Second,1460000.0,720000.0,550000.0,10000.0,190000.0,76.3,8.2,2010-05-18,2790,11877960,410340,114377,32,1863,21,0,174.93
SpongeBob SquarePants featuring Nicktoons: Globs of Doom,530000.0,490000.0,0.0,0.0,40000.0,47.0,5.6,2008-10-20,22002,18240,7200,61,3,18,0,0,5.82
SpongeBob SquarePants: Battle for Bikini Bottom,3190000.0,2270000.0,740000.0,0.0,190000.0,70.7,8.6,2003-10-31,536,198222240,2818080,224293,50,3365,375,3,302.0900000000001
SpongeBob SquarePants: Plankton's Robotic Revenge,120000.0,0.0,110000.0,0.0,0.0,75.0,3.8,2013-10-22,8204,919140,5880,15228,3,18,1,0,211.07
SpongeBob SquarePants: Revenge of the Flying Dutchman,2470000.0,1600000.0,680000.0,0.0,190000.0,71.7,7.2,2002-09-10,5602,2626380,66180,2976,8,208,4,0,149.93
SpongeBob SquarePants: The Yellow Avenger,1260000.0,860000.0,210000.0,0.0,180000.0,57.5,5.6,2006-03-06,24763,1920,540,6,1,2,0,0,3.56
SpongeBob SquigglePants,410000.0,350000.0,30000.0,0.0,30000.0,59.0,6.0,2011-04-12,18746,47760,720,555,1,5,0,0,66.33
SpongeBob's Truth or Square,220000.0,100000.0,110000.0,0.0,10000.0,41.5,7.3,2009-10-26,11680,317340,69900,481,7,79,0,0,12.61
Spore,1160000.0,30000.0,1060000.0,0.0,70000.0,84.0,5.4,2008-09-07,837,100028160,2856960,88125,68,15790,188,2,174.89
Spore Creatures,1070000.0,660000.0,300000.0,0.0,100000.0,65.0,6.8,2008-09-07,22615,13680,3300,58,1,20,0,0,4.15
