name,global_sales,na_sales,eu_sales,jp_sales,other_sales,meta_critic_score,meta_user_score,release_date
The Elder Scrolls Online: Tamriel Unlimited,3430000.0,1600000.0,1370000.0,0.0,460000.0,75.5,8.0,2015-06-09
The Elder Scrolls V: Skyrim,16520000.0,8340000.0,5830000.0,410000.0,1940000.0,90.7,7.8,2011-11-11
The Elder Scrolls V: Skyrim Special Edition,5190000.0,2370000.0,2030000.0,80000.0,710000.0,81.5,7.4,2016-10-28
The Elder Scrolls V: Skyrim VR,1130000.0,470000.0,470000.0,10000.0,190000.0,77.0,8.0,2017-11-17
The End is Nigh,60000.0,50000.0,0.0,0.0,10000.0,80.0,7.9,2017-12-12
The Escapists 2,440000.0,130000.0,240000.0,0.0,50000.0,75.0,6.5,2017-08-22
The Escapists: The Walking Dead,10000.0,0.0,0.0,0.0,0.0,63.0,6.6,2016-02-19
The Evil Within,3910000.0,1470000.0,1680000.0,250000.0,500000.0,68.5,7.5,2014-10-14
The Evil Within 2,1440000.0,560000.0,590000.0,90000.0,190000.0,79.0,8.8,2017-10-13
The Eye of Judgment,340000.0,280000.0,0.0,20000.0,30000.0,75.0,8.2,2007-10-24
The Eye of Judgment: Legends,10000.0,0.0,0.0,10000.0,0.0,69.0,7.9,2010-03-10
The Fast and the Furious,80000.0,50000.0,20000.0,0.0,10000.0,58.5,6.3,2006-09-26
The Fight: Lights Out,590000.0,290000.0,210000.0,0.0,90000.0,48.0,8.1,2010-11-09
The First Templar,180000.0,120000.0,50000.0,0.0,20000.0,54.5,5.9,2011-05-10
The Getaway,3540000.0,1230000.0,1770000.0,50000.0,490000.0,72.0,6.8,2003-01-19
The Getaway: Black Monday,1780000.0,390000.0,1010000.0,20000.0,360000.0,57.0,7.7,2005-01-11
The Godfather,1090000.0,890000.0,30000.0,10000.0,150000.0,75.0,8.5,2006-03-21
The Godfather II,1530000.0,880000.0,440000.0,20000.0,180000.0,66.0,7.0,2009-04-07
The Godfather: Blackhand Edition,150000.0,140000.0,0.0,0.0,10000.0,77.0,8.6,2007-03-20
The Godfather: Mob Wars,100000.0,90000.0,0.0,0.0,10000.0,59.0,7.4,2006-09-19
The Golden Compass,2840000.0,1220000.0,910000.0,0.0,710000.0,38.8,5.0,2007-12-04
The Golf Club,200000.0,160000.0,20000.0,0.0,30000.0,65.0,5.8,2015-04-28
