,game,Watch_time,Stream_time,Peak_viewers,Peak_channels,Streamers,Average_viewers,Average_channels,Average_viewer_ratio,global_sales,na_sales,eu_sales,jp_sales,other_sales,meta_critic_score,meta_user_score,release_date
533,batman: arkham origins,20495520,3363420,6509,53,10007,36,3,29.83,4620000.0,2420000.0,1560000.0,40000.0,600000.0,72.7,7.5,2013-10-25
534,duke nukem forever,20291700,649140,31177,24,2582,36,0,156.03,1590000.0,850000.0,560000.0,0.0,180000.0,50.0,4.7,2011-06-14
535,gravity rush,20278980,1101180,16948,50,8875,36,0,90.98,600000.0,210000.0,200000.0,90000.0,100000.0,83.0,8.5,2012-06-12
536,god hand,20234040,688200,14444,19,1540,35,0,140.85,70000.0,0.0,0.0,70000.0,0.0,73.0,9.2,2006-10-10
537,need for speed underground,20019660,1295760,12009,30,4479,36,0,74.78,50000.0,0.0,40000.0,0.0,10000.0,82.0,8.4,2003-11-17
538,need for speed underground,20019660,1295760,12009,30,4479,36,0,74.78,10410000.0,5260000.0,3940000.0,90000.0,1130000.0,82.0,8.3,2003-11-17
539,rhythm heaven fever,20002560,392580,42332,21,1506,37,0,244.88,890000.0,110000.0,0.0,770000.0,10000.0,83.0,8.5,2012-02-13
540,fable: the lost chapters,19945260,1324380,51303,31,3620,35,0,71.36,70000.0,10000.0,50000.0,0.0,10000.0,83.0,8.6,2005-09-20
541,sonic heroes,19858860,1222080,16603,38,3124,35,0,83.99000000000002,900000.0,410000.0,430000.0,10000.0,50000.0,73.0,7.7,2004-01-27
542,the darkness ii,19776600,1416840,29319,92,6591,35,1,88.35000000000002,860000.0,490000.0,280000.0,0.0,80000.0,78.7,7.7,2012-02-07
543,my hero one's justice,19745580,1745640,20839,162,4896,37,3,19.63,700000.0,450000.0,60000.0,100000.0,80000.0,69.7,7.3,2018-10-26
544,the movies,19704600,1095900,20404,32,2174,36,0,320.77,40000.0,10000.0,30000.0,0.0,0.0,84.0,8.3,2005-11-08
545,cat quest,19614000,1130880,128902,38,3887,36,0,54.33,40000.0,40000.0,0.0,0.0,0.0,74.0,7.6,2018-10-09
546,trauma center: under the knife 2,19572840,34860,119044,12,48,37,0,2447.73,110000.0,100000.0,0.0,0.0,10000.0,79.0,8.5,2008-07-02
547,obscure,19544100,440400,68293,26,1739,34,0,222.92,110000.0,60000.0,40000.0,0.0,10000.0,65.5,8.6,2005-04-06
548,hatsune miku: project diva x,19350600,1959660,13761,133,7226,34,2,38.81,310000.0,130000.0,0.0,160000.0,40000.0,80.5,7.6,2016-08-30
549,sonic adventure 2,19202220,1483620,23396,35,7425,33,0,63.74,120000.0,0.0,0.0,120000.0,0.0,89.0,8.5,2001-06-18
550,yonder: the cloud catcher chronicles,19067100,954360,52356,73,3223,34,0,50.37,70000.0,50000.0,0.0,0.0,10000.0,69.0,7.4,2017-07-25
551,the sexy brutale,18988320,565200,16603,20,2010,35,0,90.62,80000.0,50000.0,20000.0,0.0,10000.0,77.0,7.6,2017-08-29
552,ea sports ufc,18651120,1804680,59920,85,21668,33,2,264.6,1590000.0,790000.0,560000.0,10000.0,220000.0,70.0,6.2,2014-06-17
553,god eater 2: rage burst,18466920,3931380,69844,220,10859,34,6,21.25,440000.0,0.0,50000.0,380000.0,10000.0,80.0,7.6,2016-10-01
554,lego harry potter: years 1-4,18423240,1541040,17745,36,5285,33,0,58.52,8460000.0,4040000.0,3440000.0,0.0,990000.0,76.5,7.6,2010-06-29
555,don't knock twice,18399960,404220,50298,30,2671,34,0,145.45,30000.0,20000.0,0.0,0.0,10000.0,56.0,6.3,2018-02-27
556,zombie army trilogy,18236460,4270200,6797,76,20939,33,6,18.27,220000.0,60000.0,130000.0,0.0,30000.0,62.0,7.0,2015-03-06
557,halo wars,18223440,4635480,2855,127,13785,32,6,18.99,2670000.0,1580000.0,800000.0,40000.0,250000.0,82.0,7.5,2009-03-03
558,.hack//g.u. last recode,18090720,5071920,2693,297,7584,33,8,10.08,240000.0,100000.0,40000.0,80000.0,30000.0,76.0,7.8,2017-11-03
559,nba live 19,17778300,5121180,8535,102,8493,33,9,8.17,340000.0,280000.0,0.0,0.0,60000.0,74.0,6.6,2018-09-07
560,the town of light,17734020,519480,30729,37,2483,32,0,142.14999999999995,40000.0,30000.0,0.0,0.0,10000.0,63.5,6.4,2017-03-24
561,mlb 15: the show,17665080,495900,21597,30,6480,32,0,75.75,1450000.0,1100000.0,90000.0,0.0,280000.0,63.7,7.3,2015-03-31
562,fable iii,17616240,2384640,8969,39,8640,32,2,36.83,330000.0,110000.0,170000.0,0.0,50000.0,75.0,5.5,2011-05-17
563,suikoden ii,17610900,1256820,16863,23,1061,32,0,69.85,680000.0,150000.0,100000.0,380000.0,40000.0,82.0,9.2,1999-09-29
564,fire emblem echoes: shadows of valentia,17505240,528840,9214,43,558,32,0,64.02,750000.0,340000.0,160000.0,210000.0,50000.0,81.0,8.6,2017-05-19
565,castlevania: circle of the moon,17493000,445620,188782,26,836,30,0,138.32,890000.0,600000.0,220000.0,50000.0,20000.0,91.0,8.5,2001-06-10
566,thief: the dark project,17460840,882420,130963,26,1159,31,0,82.36999999999998,10000.0,0.0,10000.0,0.0,0.0,92.0,9.0,1998-11-30
567,lego the lord of the rings,17430000,817920,39451,41,3251,31,0,112.55,3960000.0,1790000.0,1720000.0,0.0,440000.0,72.4,7.4,2012-10-30
568,"warhammer 40,000: dawn of war ii - retribution",17154600,1409040,5468,45,2348,31,0,60.61,80000.0,0.0,60000.0,0.0,20000.0,80.0,7.7,2011-03-01
569,warriors orochi 3,17103660,2339640,20409,188,10397,30,2,48.85,780000.0,90000.0,70000.0,600000.0,20000.0,70.5,8.0,2012-03-20
570,saints row: gat out of hell,17039400,4499220,15986,392,29342,29,6,15.079999999999998,80000.0,0.0,70000.0,0.0,10000.0,53.7,6.1,2015-01-20
571,tmnt,16977600,261120,134022,28,813,31,0,197.66,1090000.0,930000.0,70000.0,0.0,90000.0,49.2,5.0,2007-03-20
572,prince of persia: warrior within,16833180,969240,34890,29,2132,28,0,85.42,2640000.0,1170000.0,1200000.0,0.0,270000.0,83.0,8.0,2004-11-30
573,littlebigplanet 2,16831380,84720,127053,13,207,30,0,620.39,3430000.0,1830000.0,1070000.0,60000.0,470000.0,91.0,8.6,2011-01-18
574,sonic advance 2,16829460,103860,163129,23,462,30,0,529.69,1800000.0,930000.0,590000.0,210000.0,70000.0,83.0,8.1,2003-03-09
575,mega man network transmission,16642680,90300,184816,18,220,30,0,804.6599999999999,170000.0,130000.0,30000.0,0.0,0.0,65.0,9.2,2003-06-17
576,dirt 4,16622400,3779820,13728,172,16285,30,6,12.07,730000.0,210000.0,410000.0,20000.0,90000.0,83.0,6.7,2017-06-06
577,assassin's creed: revelations,16604640,1579680,15218,32,4004,30,0,51.82,9210000.0,3850000.0,3990000.0,140000.0,1240000.0,80.0,7.4,2011-11-15
578,clock tower 3,16513440,261900,27731,14,493,28,0,289.95,330000.0,100000.0,80000.0,120000.0,30000.0,69.0,7.5,2003-03-18
579,theme hospital,16450680,654840,17730,23,2065,28,0,121.65,2400000.0,2300000.0,100000.0,0.0,0.0,82.0,8.7,1997-03-31
580,timesplitters 2,16374660,374580,174154,30,1063,29,0,191.55,1140000.0,680000.0,360000.0,0.0,100000.0,89.0,8.6,2002-10-09
581,the world ends with you,16332900,596580,20702,77,1226,29,0,98.78,780000.0,490000.0,40000.0,210000.0,40000.0,88.0,8.6,2008-04-21
582,one piece: burning blood,16262340,1361220,34728,116,11111,28,0,41.61,960000.0,320000.0,350000.0,180000.0,120000.0,62.7,7.2,2016-05-31
583,evil genius,16227780,381960,34398,19,1056,29,0,207.88,10000.0,0.0,10000.0,0.0,0.0,75.0,8.3,2004-09-28
584,lego marvel's avengers,16224600,1441200,28598,60,8236,27,0,44.19000000000001,3120000.0,1150000.0,1540000.0,50000.0,390000.0,69.3,6.9,2016-01-26
585,swat 4,16132860,553620,66748,25,2797,28,0,102.25,20000.0,0.0,20000.0,0.0,0.0,85.0,8.6,2005-04-05
586,killer is dead,16049580,998220,27841,44,3772,29,0,86.31999999999998,370000.0,210000.0,60000.0,60000.0,40000.0,64.0,7.5,2013-08-27
587,dungeons 3,15979740,1095180,47283,48,3012,29,0,51.040000000000006,20000.0,20000.0,0.0,0.0,0.0,72.0,7.4,2017-10-17
588,super bomberman r,15919140,668400,16899,61,3450,29,0,78.8,960000.0,370000.0,320000.0,220000.0,70000.0,64.0,6.5,2017-03-03
589,zombi,15918060,4424700,7127,268,24915,28,6,18.35,80000.0,0.0,50000.0,10000.0,10000.0,71.5,6.1,2015-08-18
590,neverwinter nights,15876120,1377960,17911,38,2035,28,0,70.62,30000.0,0.0,30000.0,0.0,0.0,91.0,8.1,2002-06-16
591,dragon age ii,15852600,2622120,5660,35,3494,29,2,30.67,2580000.0,1350000.0,880000.0,60000.0,290000.0,81.0,4.5,2011-03-08
592,dynasty warriors 9,15810180,1930380,12763,136,3648,29,2,13.45,450000.0,160000.0,70000.0,170000.0,40000.0,60.5,4.0,2018-02-13
593,overlord ii,15700800,446220,22775,20,1183,27,0,201.15,670000.0,260000.0,320000.0,0.0,80000.0,75.3,7.7,2009-06-23
594,the legend of heroes: trails of cold steel ii,15694860,1782240,4358,47,994,28,2,32.61,480000.0,110000.0,80000.0,240000.0,50000.0,85.0,8.2,2016-09-06
595,need for speed: the run,15687660,744600,23337,21,2127,27,0,71.57,4210000.0,1500000.0,2050000.0,40000.0,630000.0,66.0,5.8,2011-11-15
596,sonic advance,15613800,112080,180794,29,584,28,0,504.35,2240000.0,1190000.0,710000.0,220000.0,130000.0,87.0,7.9,2002-02-04
597,pac-man world 2,15535080,449820,108750,34,652,26,0,138.94,1880000.0,1540000.0,120000.0,0.0,220000.0,73.5,8.0,2002-02-24
598,trauma center: new blood,15509460,70020,141226,23,137,27,0,998.32,290000.0,220000.0,40000.0,10000.0,20000.0,77.0,8.0,2007-11-20
599,mega man zx advent,15436800,118080,117271,15,213,27,0,610.93,330000.0,220000.0,0.0,90000.0,20000.0,78.0,8.7,2007-10-23
600,hyperdimension neptunia re;birth1,15353760,2283480,6306,39,5825,25,0,32.65,140000.0,50000.0,0.0,70000.0,20000.0,69.0,7.7,2014-08-26
601,teenage mutant ninja turtles: mutants in manhattan,15253200,1079100,12652,93,4816,28,0,40.4,380000.0,190000.0,140000.0,0.0,60000.0,56.5,4.9,2016-05-24
602,tony hawk's underground,15224460,681900,97242,21,1613,26,0,86.86999999999998,5770000.0,3570000.0,1700000.0,10000.0,480000.0,87.0,8.2,2003-10-27
603,parappa the rapper,15206940,217380,66234,24,1482,26,0,318.34,2070000.0,370000.0,160000.0,1480000.0,50000.0,79.5,6.7,1997-10-31
604,f.e.a.r. 2: project origin,15134820,1281000,43732,35,4737,25,0,58.81,1080000.0,550000.0,400000.0,10000.0,140000.0,78.3,7.9,2009-02-10
605,flatout 2,15132600,694380,31350,25,3528,26,0,107.39,40000.0,30000.0,10000.0,0.0,0.0,73.0,7.2,2006-08-01
606,magicka,15031980,1443720,28144,35,8250,26,0,51.75999999999999,30000.0,0.0,20000.0,0.0,0.0,74.0,7.6,2011-01-25
607,metroid: samus returns,14905680,424620,14294,55,818,27,0,85.08,560000.0,300000.0,150000.0,70000.0,50000.0,85.0,8.8,2017-09-15
608,azure striker gunvolt,14903220,275640,142758,23,910,26,0,169.57000000000005,20000.0,20000.0,0.0,0.0,0.0,77.0,8.1,2014-08-29
609,mega man zero 4,14897700,158040,124127,20,311,27,0,399.63,110000.0,80000.0,30000.0,0.0,0.0,77.0,8.7,2005-10-04
610,dark cloud,14827680,1745400,3026,32,7132,26,0,42.29,1540000.0,830000.0,440000.0,80000.0,190000.0,80.0,7.9,2001-05-28
611,jojo's bizarre adventure: eyes of heaven,14771880,1298580,17144,69,6291,26,0,57.53,40000.0,0.0,0.0,40000.0,0.0,61.0,7.5,2016-06-28
612,we love katamari,14755440,211260,118852,18,673,26,0,285.92,520000.0,260000.0,200000.0,0.0,70000.0,86.0,8.8,2005-09-20
613,the legend of heroes: trails in the sky,14671020,2110500,2886,34,2807,26,1,34.18,100000.0,60000.0,0.0,30000.0,0.0,79.0,8.3,2011-03-29
614,patapon,14620380,217500,33322,16,923,26,0,212.22,820000.0,330000.0,250000.0,70000.0,170000.0,86.0,8.7,2008-02-26
615,god of war: ascension,14590620,486360,12594,23,1007,25,0,139.01,2400000.0,1230000.0,720000.0,40000.0,410000.0,80.0,7.6,2013-03-12
616,guitar hero,14543880,1065120,23747,23,6093,25,1,64.99,2380000.0,1670000.0,610000.0,30000.0,70000.0,91.0,8.6,2005-11-07
617,poi,14490900,149820,112807,18,632,26,0,239.32,70000.0,50000.0,10000.0,0.0,10000.0,65.0,6.1,2017-02-01
618,redout,14442840,511800,69698,25,2506,26,0,108.11,40000.0,40000.0,0.0,0.0,0.0,78.5,7.7,2017-08-29
619,star wars: the force unleashed,14435760,2107620,19003,149,10323,24,1,33.47,10070000.0,5280000.0,2900000.0,10000.0,1880000.0,69.0,7.0,2008-09-16
620,ncaa football 14,14422380,886200,9081,49,855,25,0,57.87000000000001,920000.0,750000.0,0.0,0.0,170000.0,77.0,6.3,2013-07-09
621,grand theft auto: liberty city stories,14191920,496740,13359,26,709,24,0,160.67,11260000.0,4460000.0,4230000.0,310000.0,2240000.0,83.0,7.8,2005-10-25
622,tekken tag tournament,14167800,126420,7438,10,367,24,0,463.04000000000013,4050000.0,1680000.0,1510000.0,510000.0,350000.0,85.0,8.5,2000-10-25
623,kingdoms of amalur: reckoning,14093340,2700540,19954,45,6741,24,3,25.7,1720000.0,920000.0,530000.0,100000.0,170000.0,80.5,7.8,2012-02-07
624,dante's inferno,14093220,579540,13317,17,2492,23,0,141.64,2200000.0,1390000.0,520000.0,70000.0,220000.0,72.7,7.8,2010-02-09
625,blazblue: chrono phantasma extend,14065320,2089080,27650,40,8144,24,2,23.54,310000.0,140000.0,70000.0,60000.0,40000.0,78.2,7.4,2015-06-30
626,lost odyssey,14046540,1400580,7293,46,2750,25,0,50.13000000000001,900000.0,450000.0,260000.0,110000.0,80000.0,78.0,8.4,2008-02-12
627,deal or no deal,14029860,47760,18180,6,217,25,0,665.81,3010000.0,2360000.0,400000.0,0.0,250000.0,38.0,3.2,2007-07-23
628,knowledge is power,13923840,61200,38622,10,629,24,0,1236.46,610000.0,50000.0,470000.0,0.0,90000.0,71.0,7.1,2017-10-24
629,digimon world 2,13917120,355680,5927,12,387,24,0,116.37,580000.0,230000.0,160000.0,160000.0,40000.0,42.0,7.8,2001-05-19
630,mothergunship,13764540,400320,25015,44,1947,25,0,55.18,10000.0,10000.0,0.0,0.0,0.0,77.0,7.6,2018-08-24
631,infamous: first light,13739220,181560,168738,17,3833,24,0,284.24,30000.0,0.0,30000.0,0.0,0.0,73.0,7.4,2014-08-26
632,dokapon kingdom,13721700,457680,11450,20,683,24,0,164.83,240000.0,170000.0,40000.0,20000.0,20000.0,67.0,7.3,2008-10-14
633,the sims 2,13692720,1116960,7307,26,2988,24,0,58.11,3160000.0,1890000.0,810000.0,0.0,470000.0,69.2,6.9,2005-12-07
634,grand theft auto 2,13597140,284400,37562,18,580,23,0,200.04,3420000.0,1130000.0,2070000.0,0.0,220000.0,70.0,7.9,1999-10-25
635,kirby: canvas curse,13475700,26400,113758,13,64,25,0,2619.49,720000.0,360000.0,0.0,320000.0,30000.0,86.0,7.8,2005-06-13
636,rock band 3,13372620,1516440,9010,27,1915,23,0,44.83000000000001,2180000.0,1760000.0,250000.0,0.0,180000.0,88.5,7.1,2010-10-26
637,naruto shippuden: ultimate ninja storm 3,13367880,362160,20564,13,1551,24,0,149.76999999999995,520000.0,300000.0,170000.0,10000.0,50000.0,70.0,7.6,2013-03-05
638,the inpatient,13324140,244260,36453,22,1574,24,0,77.15,130000.0,60000.0,50000.0,0.0,20000.0,59.0,5.8,2018-01-23
639,littlebigplanet 3,13310040,626760,118755,29,18613,23,0,69.21,2700000.0,980000.0,1260000.0,20000.0,440000.0,70.0,7.2,2014-11-18
640,nba live 16,13234620,4034640,6037,56,15376,23,6,10.48,340000.0,240000.0,60000.0,0.0,50000.0,59.5,5.8,2015-09-29
641,grandia,13227840,1093320,10409,32,1000,23,0,61.22,250000.0,140000.0,90000.0,0.0,20000.0,89.0,7.5,1999-09-30
642,metal gear solid 3: subsistence,13162260,378300,7743,14,806,24,0,131.98000000000002,550000.0,340000.0,10000.0,150000.0,60000.0,94.0,9.0,2006-03-14
643,rory mcilroy pga tour,13145580,3303540,11087,66,11844,22,4,17.29,830000.0,350000.0,360000.0,0.0,110000.0,60.5,4.0,2015-07-14
644,romance of the three kingdoms xi,13131180,177960,10051,8,184,23,0,235.95,70000.0,0.0,0.0,70000.0,0.0,69.0,8.4,2007-02-06
645,ultra street fighter ii: the final challengers,13080660,207480,18458,27,704,23,0,131.92000000000002,570000.0,220000.0,220000.0,90000.0,40000.0,66.0,6.6,2017-05-26
646,need for speed: hot pursuit,13023540,1162560,19184,27,5569,23,0,60.05,5840000.0,2370000.0,2640000.0,30000.0,800000.0,78.2,6.4,2010-11-16
647,wario world,13008360,252420,109267,19,785,22,0,217.54,440000.0,340000.0,90000.0,0.0,10000.0,71.0,7.5,2003-06-24
648,sly 3: honor among thieves,12903840,612180,8526,19,876,22,0,112.56,830000.0,690000.0,30000.0,0.0,110000.0,83.0,8.8,2005-09-26
649,titan quest,12900600,1410540,18489,72,3951,22,0,37.62,50000.0,50000.0,0.0,0.0,0.0,62.0,6.7,2018-03-20
650,quantum conundrum,12808440,332220,142320,23,1176,22,0,174.23999999999995,10000.0,0.0,10000.0,0.0,0.0,79.0,7.2,2012-07-10
651,the secret world,12746880,2286600,4853,90,3278,23,2,18.79,170000.0,70000.0,80000.0,0.0,20000.0,74.0,8.3,2012-07-03
652,gal gun: double peace,12670200,374460,21731,25,2337,22,0,127.29000000000002,70000.0,0.0,30000.0,20000.0,10000.0,70.0,7.1,2016-08-02
653,"warhammer 40,000: space marine",12632940,1153500,16176,54,4700,22,0,47.18,450000.0,130000.0,240000.0,0.0,80000.0,70.0,7.4,2011-09-06
654,elite beat agents,12593760,25500,18438,7,123,22,0,1368.14,370000.0,300000.0,30000.0,0.0,30000.0,87.0,8.5,2006-11-06
655,def jam: fight for ny,12414360,449520,26220,17,1742,22,0,126.1,2300000.0,1290000.0,770000.0,0.0,240000.0,83.5,8.6,2004-09-20
656,the lord of the rings: the battle for middle-earth,12396600,635340,13863,17,1081,22,0,59.49,70000.0,10000.0,60000.0,0.0,10000.0,82.0,8.6,2004-12-06
657,wasteland 2,12353220,2043780,9201,39,4194,21,0,30.25,190000.0,110000.0,70000.0,0.0,20000.0,79.0,7.0,2020-12-31
658,dragon ball z: budokai tenkaichi 3,12255180,666660,7350,18,2861,22,0,64.05000000000001,1030000.0,320000.0,360000.0,260000.0,80000.0,72.0,8.5,2007-12-03
659,hitman 2: silent assassin,12192360,416760,9525,18,1221,21,0,109.18999999999998,4280000.0,2220000.0,1560000.0,40000.0,460000.0,84.0,7.0,2002-10-01
660,ape escape 2,12190980,399960,133277,19,2633,21,0,118.75,630000.0,120000.0,90000.0,380000.0,30000.0,82.0,8.3,2003-06-30
661,pokémon channel,12025020,997860,8793,39,2668,21,0,62.6,380000.0,240000.0,60000.0,70000.0,10000.0,55.0,6.3,2003-12-01
662,lego worlds,12010620,668820,47111,43,5762,21,0,47.90000000000001,2410000.0,700000.0,1400000.0,40000.0,260000.0,64.7,6.7,2017-03-07
663,fire emblem warriors,11958000,1130940,7528,110,2540,21,1,26.98,660000.0,290000.0,170000.0,140000.0,50000.0,71.5,8.0,2017-10-20
664,prince of persia: the two thrones,11947320,532560,41846,28,1119,20,0,112.26,1410000.0,1010000.0,270000.0,0.0,120000.0,84.7,8.0,2005-12-01
665,mega man zero,11936280,297960,173572,36,832,22,0,167.89,550000.0,220000.0,80000.0,240000.0,10000.0,82.0,9.1,2002-09-09
666,split/second,11877960,410340,114377,32,1863,21,0,174.93,1460000.0,720000.0,550000.0,10000.0,190000.0,76.3,8.2,2010-05-18
667,rule of rose,11826360,401340,13162,18,862,20,0,152.77,20000.0,10000.0,10000.0,0.0,0.0,59.0,8.7,2006-09-12
668,that's you!,11824320,53160,40830,9,1172,21,0,842.51,40000.0,40000.0,0.0,0.0,10000.0,70.0,7.2,2017-10-24
669,risen,11696220,1457520,13000,32,2426,20,0,40.06,330000.0,70000.0,230000.0,0.0,30000.0,68.5,7.3,2010-02-23
670,atelier sophie: the alchemist of the mysterious book,11686080,1141560,9233,38,2878,19,0,56.8,220000.0,40000.0,30000.0,140000.0,10000.0,79.0,7.8,2016-06-07
671,nba,11685000,473580,16600,72,1102,20,0,92.13,210000.0,200000.0,0.0,0.0,20000.0,57.0,6.9,2005-03-16
672,soulcalibur ii,11661480,434160,24184,18,1830,19,0,144.66,2500000.0,1770000.0,500000.0,140000.0,80000.0,92.5,8.8,2003-08-27
673,crysis 2,11627520,997620,11715,23,3783,21,0,45.38,3430000.0,1370000.0,1520000.0,80000.0,470000.0,85.0,7.2,2011-03-22
674,sonic lost world,11607960,372660,113725,28,1389,19,0,102.43,850000.0,420000.0,280000.0,80000.0,70000.0,61.0,6.7,2013-10-29
675,retro game challenge,11556060,438600,3097,11,395,20,0,73.30000000000003,110000.0,0.0,0.0,110000.0,0.0,77.0,6.9,2009-02-10
676,castlevania: harmony of dissonance,11548020,335280,124287,19,662,20,0,108.47,260000.0,160000.0,60000.0,40000.0,0.0,87.0,7.9,2002-09-16
677,the hobbit,11546640,200640,111647,19,413,20,0,191.76,900000.0,530000.0,280000.0,0.0,70000.0,62.3,8.2,2003-11-11
678,rayman 3: hoodlum havoc,11541240,779280,14209,26,1569,20,0,72.01,460000.0,250000.0,170000.0,0.0,40000.0,75.5,8.5,2003-03-17
679,duke nukem 3d: 20th anniversary world tour,11534400,823080,57480,143,3694,19,0,72.03999999999998,180000.0,150000.0,0.0,0.0,30000.0,73.5,7.0,2016-10-18
680,dirt 3,11515980,2756760,7542,176,18913,18,2,21.32,1920000.0,500000.0,1110000.0,20000.0,290000.0,86.7,7.1,2011-05-24
681,silent hill: shattered memories,11492040,256620,21358,13,739,20,0,229.22,1370000.0,440000.0,540000.0,30000.0,350000.0,76.3,7.6,2010-01-19
682,king's field: the ancient city,11381520,106020,6567,9,147,20,0,460.11,100000.0,50000.0,40000.0,0.0,10000.0,60.0,8.6,2002-03-25
683,toukiden 2,11358660,1429140,8366,73,2896,20,1,37.62,300000.0,60000.0,0.0,230000.0,20000.0,66.0,7.4,2017-03-21
684,naruto shippuden: ultimate ninja storm 2,11283360,510540,32247,17,1915,19,0,164.82999999999996,780000.0,430000.0,270000.0,10000.0,70000.0,74.0,8.6,2010-10-19
685,grid,11277720,837540,11385,82,3233,20,1,36.22,2020000.0,680000.0,1010000.0,40000.0,280000.0,84.3,8.0,2008-06-03
686,aliens: colonial marines,11254920,606780,35778,24,2198,19,0,100.11,1420000.0,560000.0,680000.0,0.0,170000.0,45.5,3.7,2013-02-12
687,sonic unleashed,11232480,942480,7496,23,1839,21,0,61.16,2740000.0,1470000.0,680000.0,10000.0,590000.0,60.0,7.7,2008-12-09
688,mega man legacy collection 2,11229060,1000800,8535,54,3301,20,0,29.27,120000.0,80000.0,0.0,20000.0,10000.0,71.5,8.8,2017-08-08
689,final fantasy type-0 hd,11218680,2689260,14008,40,10001,18,2,24.270000000000003,300000.0,200000.0,70000.0,0.0,30000.0,72.0,8.2,2015-03-17
690,deus ex: invisible war,11216100,198480,8801,12,406,20,0,260.19,330000.0,250000.0,70000.0,0.0,10000.0,84.0,7.6,2003-12-02
691,red orchestra 2: heroes of stalingrad,11186400,1470240,42213,31,5606,19,0,39.23,130000.0,40000.0,70000.0,0.0,20000.0,76.0,7.3,2011-09-13
692,robots,11152440,115980,3469,14,123,19,0,286.6400000000001,500000.0,300000.0,140000.0,0.0,60000.0,41.5,6.4,2005-02-24
693,no more heroes,11095800,323760,9003,17,568,20,0,117.28,560000.0,290000.0,170000.0,40000.0,50000.0,83.0,8.5,2008-01-22
694,singularity,11015580,477180,42777,30,1535,19,0,102.44,50000.0,0.0,40000.0,0.0,10000.0,76.0,7.8,2010-06-29
695,persona 4: dancing all night,10990320,544020,8184,27,1895,19,0,158.49,380000.0,120000.0,40000.0,160000.0,50000.0,76.0,5.3,2015-09-29
696,rock band,10887780,133560,44925,10,576,19,0,330.07,7280000.0,4960000.0,1360000.0,0.0,980000.0,86.5,7.3,2007-11-20
697,playstation vr worlds,10887240,122940,22714,18,5933,18,0,286.03,2160000.0,360000.0,1400000.0,90000.0,320000.0,59.0,6.8,2016-10-13
698,road trip,10885080,90240,139152,22,233,18,0,546.53,90000.0,40000.0,30000.0,0.0,10000.0,80.0,8.8,2002-10-26
699,castlevania: order of ecclesia,10878960,470760,7493,17,735,18,0,119.73,370000.0,270000.0,30000.0,40000.0,30000.0,85.0,8.5,2008-10-21
700,prince of persia,10823820,812580,30730,29,2784,18,0,67.57000000000001,2080000.0,1010000.0,750000.0,50000.0,270000.0,83.0,7.2,2008-12-02
701,the lord of the rings: the battle for middle-earth ii,10762320,503280,6800,17,986,19,0,100.6,50000.0,0.0,40000.0,0.0,0.0,79.0,8.1,2006-07-05
702,star wars: dark forces,10736040,306600,111914,17,939,17,0,146.87,1950000.0,1090000.0,770000.0,0.0,90000.0,83.0,7.5,1995-02-28
703,medal of honor: airborne,10721880,209520,109860,19,1163,19,0,174.49,50000.0,0.0,40000.0,0.0,10000.0,78.0,7.3,2007-09-04
704,saints row 2,10629360,1528740,10183,38,5158,18,0,33.620000000000005,4790000.0,2860000.0,1360000.0,40000.0,530000.0,78.3,7.6,2008-10-14
705,castlevania chronicles,10614300,114480,164567,29,315,18,0,393.87,130000.0,70000.0,50000.0,0.0,10000.0,69.0,6.7,2001-10-08
706,obscure: the aftermath,10596360,191280,31707,17,563,18,0,274.38,210000.0,160000.0,30000.0,0.0,20000.0,59.5,8.2,2008-03-25
707,knack 2,10594800,407940,13736,31,1961,19,0,56.01,470000.0,140000.0,250000.0,10000.0,70000.0,69.0,7.7,2017-09-05
708,harry potter and the order of the phoenix,10573620,254040,14538,14,625,18,0,229.82,2520000.0,1310000.0,880000.0,0.0,310000.0,61.6,5.5,2007-06-25
709,fifa 15,10544520,3943740,28717,51,20976,18,5,30.54,11710000.0,2360000.0,7960000.0,100000.0,1270000.0,80.9,4.2,2014-09-23
710,phoenix wright: ace attorney - trials and tribulations,10542480,402120,12832,15,430,18,0,103.97,620000.0,300000.0,30000.0,250000.0,30000.0,81.0,9.0,2007-10-23
711,spider-man,10501920,1283820,18504,153,5978,18,0,40.83,3130000.0,1700000.0,1250000.0,20000.0,160000.0,87.0,8.8,2000-08-30
712,alone in the dark,10487160,382920,40372,15,720,17,0,180.17,180000.0,90000.0,80000.0,0.0,20000.0,39.0,4.4,2008-06-23
713,alone in the dark,10487160,382920,40372,15,720,17,0,180.17,550000.0,170000.0,320000.0,0.0,60000.0,52.5,5.2,2008-06-23
714,creed: rise to glory,10475280,103380,17499,10,1870,19,0,195.92,190000.0,150000.0,0.0,0.0,40000.0,73.0,6.5,2018-09-25
715,capcom beat 'em up bundle,10428780,277560,12963,28,1311,19,0,75.05000000000003,20000.0,0.0,0.0,20000.0,0.0,74.5,6.5,2018-09-18
716,syberia,10338240,564720,15529,20,1386,17,0,88.53,150000.0,80000.0,60000.0,0.0,0.0,76.7,7.7,2003-07-23
717,dreamcast collection,10289280,47700,18640,9,161,18,0,661.05,240000.0,160000.0,60000.0,0.0,20000.0,53.0,5.1,2011-02-22
718,yomawari: midnight shadows,10236960,393900,9376,21,1140,18,0,77.22,90000.0,20000.0,0.0,70000.0,0.0,60.5,7.5,2017-10-24
