,game,Watch_time,Stream_time,Peak_viewers,Peak_channels,Streamers,Average_viewers,Average_channels,Average_viewer_ratio,global_sales,na_sales,eu_sales,jp_sales,other_sales,meta_critic_score,meta_user_score,release_date
38,fallout 4,1646953500,236516880,199398,2173,478708,5199,779,34.67,5030000.0,2940000.0,1620000.0,20000.0,450000.0,88.0,6.5,2015-11-10
39,nba 2k17,1632920040,136855260,73383,3138,251341,3102,258,30.54,3900000.0,2540000.0,680000.0,30000.0,670000.0,79.0,5.0,2016-09-16
40,call of duty: infinite warfare,1609092900,105851640,224678,2186,292127,3055,200,55.66,5120000.0,3030000.0,1630000.0,0.0,470000.0,75.5,3.6,2016-11-04
41,no man's sky,1574084520,78171060,450600,6992,176676,2990,148,71.04,2490000.0,1060000.0,1010000.0,40000.0,390000.0,74.0,6.2,2016-08-09
42,friday the 13th: the game,1547723760,83198700,212619,2329,204406,2944,157,46.16,750000.0,500000.0,120000.0,30000.0,110000.0,57.0,5.9,2017-10-13
43,borderlands 2,1535185680,111611400,425609,1584,244482,2917,210,65.71000000000001,6950000.0,3710000.0,2230000.0,150000.0,870000.0,83.2,8.1,2013-01-15
44,terraria,1374854040,100186140,158298,522,228776,2612,188,65.77000000000001,820000.0,90000.0,400000.0,260000.0,70000.0,73.2,7.6,2015-12-10
45,fallout 76,1321035240,75151260,256895,5935,115787,2513,142,32.78,2460000.0,1230000.0,820000.0,100000.0,310000.0,51.3,2.9,2018-11-14
46,nba 2k18,1151864760,98956620,108877,3463,158019,2191,187,27.02,3970000.0,2580000.0,640000.0,80000.0,650000.0,65.5,2.1,2017-09-19
47,gears of war 4,1145219880,81371940,175248,1696,131038,2176,153,56.7,3380000.0,2170000.0,900000.0,0.0,320000.0,84.0,6.9,2016-10-11
48,assassin's creed odyssey,1090781640,46106400,127667,1367,101707,2075,87,46.5,4630000.0,2090000.0,1810000.0,90000.0,640000.0,85.3,5.9,2018-10-05
49,call of duty: modern warfare remastered,1054906740,74334720,156197,1432,268936,2003,139,64.92,820000.0,330000.0,360000.0,30000.0,110000.0,86.0,6.4,2017-06-27
50,paragon,1034854260,98836260,152994,1069,107803,1964,185,40.22,90000.0,70000.0,0.0,0.0,20000.0,69.0,6.6,2016-06-07
51,dark souls ii: scholar of the first sin,1022202900,64568040,81973,639,112932,2832,191,77.00999999999998,970000.0,460000.0,300000.0,90000.0,130000.0,88.0,7.9,2015-04-07
52,far cry 5,969484380,45906480,265766,2955,165601,1843,86,354.0800000000001,5800000.0,2580000.0,2270000.0,150000.0,790000.0,80.3,6.5,2018-03-27
53,eve online,892389000,32624760,59813,251,25313,1696,60,112.55,200000.0,0.0,190000.0,0.0,10000.0,69.0,7.4,2003-05-06
54,grand theft auto: san andreas,890111940,40706580,79990,258,111028,1689,75,107.13,2920000.0,1260000.0,1540000.0,0.0,130000.0,93.0,8.8,2005-06-07
55,kingdom come: deliverance,863171760,28164180,297850,1630,47001,1641,52,218.08,780000.0,320000.0,340000.0,0.0,110000.0,68.5,7.4,2018-02-13
56,final fantasy xv,850024020,94671960,160309,4843,198189,1613,179,30.77,5070000.0,1810000.0,1530000.0,1050000.0,680000.0,81.0,7.6,2016-11-29
57,halo: the master chief collection,835468620,73803960,174602,3766,149115,1587,138,43.43,3440000.0,2060000.0,1040000.0,30000.0,310000.0,85.0,7.5,2014-11-11
58,xcom 2,834392640,28872480,116682,991,49640,1584,52,92.11,810000.0,430000.0,280000.0,0.0,90000.0,87.3,7.4,2015-11-30
59,star wars battlefront ii,740350320,38449020,168330,1331,148617,1407,71,59.19000000000001,6480000.0,4450000.0,1470000.0,40000.0,530000.0,78.7,8.8,2005-11-01
60,american truck simulator,731646480,46904340,158380,1098,73541,1388,86,77.82000000000002,90000.0,0.0,90000.0,0.0,10000.0,76.0,6.9,2016-02-02
61,madden nfl 19,729668580,92407920,125085,2206,120898,1388,175,15.77,1510000.0,1330000.0,20000.0,0.0,160000.0,81.0,3.0,2018-08-10
62,persona 5,729605460,32661360,87483,691,41311,1385,60,137.51,1880000.0,690000.0,360000.0,620000.0,220000.0,86.5,7.0,2017-04-04
63,doom,727376100,53072100,423478,1960,201875,1379,100,49.65000000000001,140000.0,100000.0,40000.0,0.0,0.0,81.0,9.1,2001-10-28
64,microsoft flight simulator x,717848940,55868100,27293,408,26574,1361,104,64.21,470000.0,20000.0,410000.0,0.0,40000.0,80.0,7.5,2006-10-17
65,dying light,717452040,83946420,254845,1368,294697,1361,157,44.36,3920000.0,2190000.0,1050000.0,140000.0,540000.0,74.0,7.8,2015-01-27
66,divinity: original sin ii,715269000,37787700,102228,596,55298,1359,70,109.15,160000.0,70000.0,80000.0,0.0,20000.0,92.0,7.8,2018-08-31
67,jurassic world evolution,714887820,18009840,222904,1770,40186,1359,33,60.0,730000.0,290000.0,340000.0,0.0,100000.0,72.0,6.6,2018-07-03
68,battlefield 4,683337900,130025460,558571,977,377368,2124,363,25.54,11060000.0,4410000.0,4740000.0,460000.0,1460000.0,81.8,6.4,2013-11-15
69,left 4 dead 2,676523280,60508260,417534,494,207375,1283,112,55.73,360000.0,0.0,320000.0,0.0,40000.0,89.0,8.4,2009-11-17
70,call of duty: black ops ii,640549260,67693800,141687,574,146110,1215,126,45.92,28080000.0,13460000.0,10380000.0,720000.0,3520000.0,82.3,5.9,2012-11-13
